


Bad Boss
A bevy of them that had to do with spur-of-the-moment decisions having deep and lasting consequences, and how I should really, really know that better than anyone else. But before I could get into that buzzkill with myself, a storm of texts pinged in my phone.
Perfect timing. I reached into my pocket, knowing without looking that the messages were all from my best friend.



LIA: Helloooo why must you text me and then disappear??
LIA: Wait so I don’t get it are you really going to make it tonight? How did you get out of work??
LIA: Did you finally duct tape your boss to her chair like I told you to
ME: Hi. I did… in a way. I’ll tell you when I get there. It’s a long story that you’re not going to believe and I’m going to require a drink first. Maybe three.
LIA: Yessssss story time so excited
LIA: Also Lukas knows the owners here so… open bar : )
ME: YESS. I’m 5 min away. Rooftop at the Victorian Hotel?
LIA: Yep rooftop terrace! Just give them Lukas’s name at the door. Should I have a drink ready for you?
ME: No but if you can find a hot guy who looks like he’d be killer in bed please grab him and tell him all about me


I was half-kidding but that didn’t stop the flurry of shocked emojis before Lia’s next message came in.


LIA: Whaaaaaaaaaat?


I snorted as I watched the ellipsis repeatedly drop off and return as my best friend tried to decide which of her many questions to ask first. I knew what she was thinking – when did I get the balls to have a one-night stand? Wasn’t I the chick who kept the same mild-mannered, borderline vanilla friend with benefits over the course of the past five years?
Yes. Yes, I was.
His name was Jeff and he was my copy editor at the magazine I just quit and figuratively set on fire. I chose him because he was already at the office and he was cute enough without being distractingly hot. He was pretty good without being great. He wasn’t strong enough to make me break much of a sweat during sex and show up to my next meeting disheveled – which sounded horrible, yes, but that was the point.
Jeff was just enough to satisfy my libido, but not enough to launch my hormones into crush mode. He got the job done so I could get my job done and finally earn myself a spot on the masthead like every one of my bosses kept promising I would. For that company, I’d adapted myself to an active but deeply mediocre sex life.
And all for nothing.
Those dicks, I scowled as Lia’s text finally came in.


LIA: HOLD ON I’M SO CONFUSED. WTF is happening can you tell me in one sentence please??
ME: FINE
ME: Basically I just snapped and quit June Magazine in a way that might get me blacklisted from publishing entirely so before I launch into disaster control tomorrow, I’m going to make up for all the years of bad sex I had for that company by finding the hottest guy at the bar tonight and having him do EVERYTHING to me.


Once I hit send, I let out a heavy whoosh of a breath. I didn’t realize it till a second after sending the text, but apparently my mind was made.
I was indulging tonight.
In everything.
Fuck it – for just one night, I was going to let myself have whatever I wanted, however I wanted – as hard and fucking sweaty as I wanted.
In ten hours, it would be 8AM, but till then, every one of my rules would cease to exist.
Any fantasy I had, my wish was my own command, because I was both Cinderella and her own fairy godmother at the hotel rooftop ball. Tomorrow, it was back to reality.
But tonight, I was making every second worth it.











2

SARA



“Lia, we’re officially in the same building – can’t this wait till I meet you up on the roof?” I pleaded, my phone pressed between my shoulder and my ear as I handed the bouncer my ID. Once I slipped past him, I found myself in the sleek and seductive lobby of the hotel’s quieter side entrance, waiting alone for perhaps the slowest elevator known to man.
“No, Sara, it cannot wait, because you strung me along all night with your cryptic-ass texts and now that I finally know what the heck is going on, I’m drunk and I’m excited and I’m ready to butter up some hotties for you so they’re nice and warm by the time you get up here!”
“Oh, that just sounds… so creepy, Lia.”
“Did it?” She made a sad little sound. “I guess so. Lukas is giving me the weirdest look right now. But whatever, it’s not your night, Lukas – I’m talking to Lukas right now – it’s Sara’s night. Right, Sara? I’m talking to you right now.”
I had to laugh at what an adorable shitshow my best friend turned into after just a few glasses of wine. “Sure, drunkie, it is.”
“Exactly. So listen. I was talking to this guy just now who is a solid nine – don’t look at me like that, Lukas – and he is a total sweetheart. Like, such a nice person.”
“Uh-huh.”
Lia’s voice faded out as I opted to check my reflection in the mirrored doors of the elevator.
All things considered, not bad.
Despite the fact that I’d been ugly crying in the women’s bathroom at work two hours ago, my mascara was still fairly intact, as was the light blush I’d applied early this morning. Tilting my face to the side, I admired the natural sheen on the cheekbones I’d inherited from my mother – sky-high and eager to reflect any shred of light in the room. Lia fondly called them dirty attention whores. My cheekbones and my “ass that won’t quit,” apparently, were the guiltiest parts of my body.
Oh, Lia.  I had to interrupt her when she got to the part about this super nice guy’s three rescue cats.
“Lia – listen,” I started carefully. “I appreciate your tip, and I love you very much, but I don’t think a cat dad sweetheart is what I’m looking for tonight.”
“What? Why?”
“Is this a serious question?” I jabbed the elevator button again out of pure restlessness. “And do we really need to be having this conversation right now?”
“Yes, Sara, it’s a serious question, because I’m drunk, and when I’m drunk, I have comprehension issues, which makes every question a serious question,” Lia explained with frustration, simultaneously charming and annoying the shit out of me like only she could do. “Now explain to me why you don’t want the nice guy I picked for you when I already told him all about you, and please tell me why you keep trying to get off the phone with me all night!”
“Because,” I hissed. “For starters, I just spent the past however many years having a bunch of okay sex with a guy I was the bare minimum of attracted to, so tonight I specifically don’t want that kind of sex. I want good, sweaty… kind of mean sex with a man who’ll just pin me down and… fuck me so hard he breaks the headboard. And to answer your second question, I want to get off the phone because I don’t want to talk about the mind-blowing sex I’m going to have tonight, I just want to have it. Thinking about it is turning me on to the point of torture right now and being on the phone with you while I’m this insane level of horny actually feels kind of weird, so will you please just let me get in the elevator, Li?” I asked, exasperated as I dragged my feet inside. “Because it’s here, I’m in, and I – ”
Fuck.
My heart seized as I turned around to see the world’s most stunning fucking force of a man stride in behind me, wearing a ridiculously expensive-looking suit, an incredibly crisp white shirt, and just enough of a smirk on that perfect mouth to let me know that he’d heard.
Everything.
“Um.” I raked my awkward smile between my teeth as we made two seconds of eye contact so scorching hot I could have ripped my clothes off right then and there. Swiftly hanging up on Lia, I peered over at the stranger.
Good Lord.
He was a walking statue – tall, stoic, and carved from stone. His thick brown hair was slicked back just enough to give me an unspoiled view of sculpted cheekbones and a jaw so razor sharp I wanted to run my finger on its perfect edge. I cleared my throat.
“Hi.”
He glanced over, hitting me with the piercing blue of his eyes just as he leaned in to hit the button to his floor.
“Hi.”
That voice. I could taste it. It was low and sexy, smoky but smooth, and it matched perfectly with the rest of his unreal gorgeousness. One flick of my gaze over his body and I could already see that he was long and lean, several inches over six feet tall with a solid, muscled build. Even under that tailored jacket, I made out the strength of his broad shoulders, the tapered V of his chest. He was power and sex wrapped in an Italian suit, and it had me picturing him in some shiny Manhattan office, conducting business as usual while getting sucked off under his desk.
Okay, Sara.
“So...” I chewed my lip, my heart pounding when he lifted his gaze to meet mine in the doors. “Were you…” sent from Heaven? Just kidding. “Were you there for the entirety of that conversation? Downstairs?” I topped my question off with a nervous little laugh that went unreturned.
Damn it. The statue was already bored with me. He was utterly expressionless, without so much as a twitch of emotion on those exquisite features. But just as embarrassment started flooding my cheeks, I spotted a little glint in his eye.
“No.” He took his time to reply. “Just long enough to hear about how hard you want to get fucked tonight.”
Oh.
My God.
“Right,” I started slowly, biting down hard on my lip. “In my defense, I just had a bit of a catastrophic day, and tomorrow’s probably going to be worse. So I’m giving myself basically the next ten hours to do whatever I want.”
“Ten hours.” He eyed me curiously. “That’s not a lot of time.”
I was as flustered as it got so I attempted a casual shrug.
“That’s okay. I’m a simple girl.”
My pulse heightened as I watched the sharp lines of his features move, forming the sexiest little frown between his brow. Was it…? It was. It was teasing me.
“I’m not so sure that’s the word I’d use to describe you.”
My pulse picked up but I played it off. “No? Why is that?”
“Simple implies easily explained.”
“Which I’m not?”
He hesitated for half a second then gave a laugh. It was a low, velvet sound that had me instantly addicted.
“No. I already have… more than a few questions about you.”
God, why did it feel like he was talking dirty to me? He offered few words but every one made me absurdly hot. Even his pauses turned me on. I couldn’t help but prod him for more.
“What kind of questions?” I asked, trying to downplay my feverish curiosity. “You don’t have to be shy. Like I said, it’s a fuck-it kind of night for me.”
He smirked. “You sure about what you’re saying?”
No. But from this point forward, I’m going to act like I am.
“Yes.”
“Then I guess I’m just wondering how a girl who looks like you has trouble getting someone to pin her down,” he eyed me, “and fuck her as hard as she wants. Pretty sure any straight man would be happy to sacrifice a headboard or two for that.”
Oh Jesus.
It took everything in me to refrain from actually fanning myself. I had no idea how to respond to that. All I knew was that I had to get it together. I had only so much of an elevator ride left with this mystery man of few words, and I wasn’t going to leave it on him stunning me silent. It would be the greatest waste of serendipity known to man.
So tucking my hair behind my ear, I cleared my throat.
“What do… what do you mean someone who looks like me?” I finally asked.
“Don’t be coy. You know what I mean.”
I laughed. “I want to say I do, but I feel like I need to confirm, because this all feels very surreal right now.”
Crap. Was I supposed to admit this? Wasn’t I trying to play it cool? Whatever. Considering this guy’s level of hot, the fact that I was still breathing was nothing short of a miracle.
“Fine. I meant that you’re not just some average cute girl. You’re… ” He gave me that sexy laugh again as he watched the color rush to my cheeks. “Hot. Really fucking hot. The kind that makes men feel urgent.”
“Urgent how?”
He looked at me like I was being insolent. “Like they need to jerk or fuck the image of you out of their head. Does that paint a clear picture for you?”
I swallowed. “Fairly.”
“Any more questions?” he teased.
“Possibly,” I teased back.
“Like?”
I crossed my arms. “Would you consider yourself among those men?”
He didn’t hesitate.
“Considering I mentally fucked you in four different positions before you so much as laid eyes on me, I’d be inclined to say the answer is yes.”
Oh my God. I was quiet for a second.
“And which position did you like best?”
Double oh my God! Holy shit, Sara. Nice one.
“I liked the one where I had you bent over the sink so I could watch everything bounce in the mirror.” A leisurely smile curled his mouth. “But you straddling me to ride my cock was a very close second.”
And… no words.
Speechless was actually an understatement for what I was as I stood there, the elevator finally opening at the bar I was supposed to get out at. I almost burst into flames when two women walked in, saw us, and promptly walked back out with giggles to each other. They already knew what I had yet to fully process till the doors closed and the elevator continued up to the penthouse.
“I think you missed your floor,” he said. God, six words had never sounded so suggestive.
At least not until mine.
“I guess I’ll go to yours.”
* * *
A blur.
A hot, breathless blur – it was the only way I could describe the trip from the elevator to the door.
On no other night in the world would I be fine with my half-naked breasts being exposed in the middle of a hotel, but tonight, I was consumed – by the moment, the madness, by him. I didn’t even know his name, but I didn’t care. My pussy was throbbing without mercy for him, so at this particular moment, the only thing I cared about was getting this man naked and feeling his every hot, hard inch inside me.
“So sweet.”
His murmur in my mouth was a stark contrast to his touch as he shoved me against the door, pinning my arms to my sides. My body strained impatiently for him but he was taking his time with me, forcing my fingers to flex and curl as he licked a thick, wet line along the curve of my neck. He didn’t use the tip of his tongue – he used the flat of it, sending bolts of pleasure to every nerve ending in my body.
Holy shit. His mouth curved as it felt every tremble of my reaction. He knew he was torturing me, and it made him go even slower, swirling his tongue on my skin as he pushed his pulsing erection against my belly. It was at once hot as hell and completely fucking unbearable.
“Enough.”
I shoved him hard, my stomach twisting with fear and excitement as he stood before me, eyes blazing.
“Don’t tease me. I need you inside me already – please,” I panted, swallowing hard as his eyes fell to my heaving chest.
It made me suddenly aware again that I was standing in just my black lace bra and black jeans, in the open hall of one of the most expensive hotels in Manhattan. It made me feel as if the cups containing me were shrinking in size, squeezing my breasts uncomfortably tight with every short breath I took in.
“Take it off first.”
I exhaled. “What?”
“I want to watch you play with your tits. Then we’ll go in.”
I must have been crazy because I didn’t think twice about obliging. In fact, I didn’t even remember pushing the satin straps off my shoulders. I only came to as I arched my back off the door, reaching behind myself and undoing the clasp till my bra fell to the floor. I kicked it up at him. He caught it with his eyes still pinned to my breasts.
“Play with your nipples.”
I enjoyed the low groan that rumbled from his chest as I did – almost as much as I enjoyed the clear as day outline of his cock against his pants. He was a steel fucking rod, and every inch what I needed tonight.
“God, just take me inside already,” I begged.
This time he obliged.
Entwined inside the room, I moaned from the anticipation alone. It was my first time in a hotel penthouse, but I didn’t care. I took no notice of any décor or furniture till he bent me over the back of the couch that faced the mirror, giving me a view of him removing his tie and his jacket before peeling first my jeans down my legs, then my panties.
“Christ. It just gets better and better,” he murmured, that perfect frown pinching his brow as he tilted his head and ran his hand down the curve of my ass. He assessed it with a little jiggle. Then cupping the roundest part of its curve, he drew his palm back and spanked me so hard I hissed.
“Fuck.”
I gripped the couch, squeezing my eyes shut as he caressed my stinging skin. But once he’d fully rubbed the pain away, he spanked me again. I swallowed as my toes dug into the rug.
“More.”
“What was that?” His voice was hoarse.
“I want more.”
He didn’t wait. I gasped sharply as I got my wish, and my whimper grew to a moan as for the next few seconds, he administered blow after blow, spanking me so hard I could feel myself jiggle all over.
“Mmmm... God!” The ragged sound left my mouth in a crescendo, drawing a growl from his lips as he grabbed a handful of my hair.
“Christ, you’re getting me so fucking hard,” he snarled. “Look at how fucking sexy you are.”
I looked up in the mirror and let out a small breath.
Shit, Sara. I didn’t recognize this reflection. My hair was damp, my cheeks were flushed and there was satisfaction in my panting, open-mouthed smile. What have you done to me? I wanted to ask as I stared at him through the mirror, drinking him in. He was a mix of handsome and brutal as he tilted his head just so, sliding a long finger into my pussy.
Fuck, oh fuck, that feels good.
It felt even better as he leaned forward, deepening his push inside me as his free hand cupped my breast.
“Squeeze them hard,” I whispered.
“My pleasure.”
I had to be shameless. I had to ask for what I wanted, because come morning, this would be over. I’d never see this man again, and I couldn’t have a single regret. So I let it all out with him.
“More,” I breathed, moaning uncontrollably as he kneaded both my breasts with one hand, the other still playing with my pussy. He had two fingers pumping rapidly inside me now, and I couldn’t believe how wet I sounded. I couldn’t believe how incredibly good I felt.
With a throaty cry, I pitched forward. His strong arms caught me as I went limp, and there was a beat of silence before I heard his gravelly whisper.
“Did you just come all over my hand, beautiful?”
“Yes,” I replied, panting in shock as he rubbed my own juices all over my breast, his hand slick and slippery on my skin. Holy shit. I rolled my head back on his shoulder, closing my eyes as I felt him rub his erection against my ass. “I should be wet enough that you’ll fit easily now,” I murmured.
He paused.
“What did you say?” He laughed as I turned around to gaze into his intense stare. For a moment, he took me in, his eyes trailing from my wet breasts to my parted lips. “And here I thought I couldn’t get any harder,” he muttered, grabbing his heavy buckle and giving three swift jerks to undo his belt.
My pulse rose in anticipation.
It spiked the moment his cock sprang free, prompting my mouth to fall open. I knew he was grinning as he watched me stare. His hand cupped my waist as I slid my palm under his shaft, my toes curling as I tried to wrap my fingers around his thickness. It felt surprisingly silky on my skin. I loved the warmth, the heaviness, and I reveled in the sound of his groan as I started to stroke.
Just you wait, I bit my lip.
I’d never particularly cared for giving head, but I wanted his cock in my mouth. I wanted to taste him – to be the one in control for a moment before I let him fuck me as he pleased on whatever surface he chose.
“What are you doing?”
I enjoyed the unbridled surprise in his voice as I knelt before him. Gripping his thick root, I brushed my lips against the smooth head of his cock, drawing back just in time to see his glistening pre-cum beading. From under my lashes, I peered up to see him breathing hard and unblinking, practically drunk off his view.
God, yes.
He was strong, undoubtedly someone of power in this city, but I had him at my mercy and waiting desperately for just the tip of my tongue.
“Do it,” he rasped, his urgency palpable in his grip on my hair. “Suck on it. Fucking hell, please,” he hissed. “Let me feel your beautiful mouth on my cock.”
Satisfied, I drew my tongue over his pulsing tip, swirling it around and drawing out the sexiest groan from the pit of his throat.
I heard it just a second before the front door of the room exploded wide open.
“Oh my God!”
The shriek that pierced my ears came from my own mouth, and it was followed by his growl of, “Motherfucker!” at the door.
Omigod.
What the fuck, what the fuck, what the fuck, I thought as I launched toward my clothes strewn over all parts of the floor.
Through the absolute chaos of shouting, I gathered that our intruder was a friend of his, but I still wasn’t sticking around. Half naked with my pussy drenched and my lips still tingling from the taste of cock, the last thing I wanted was an audience. I was hot and humiliated, and within seconds, I was out the fucking door.











3

JULIAN



I pretended to watch the game as I sat at the back of my suite behind home plate. As far as I could tell, no one knew I was seething. I gave a nod and a clap at the top of the fifth, when we got out of a bases loaded, no-out jam. I posed for a few pictures and had a full conversation with my President of Baseball Operations. But I wasn’t actually paying attention to any of these things.
My focus was entirely on the idiot brothers kicked back in their seats, shoes off and flirting with girls half their age like we weren’t in the midst of a meeting they requested.
Breathe the fuck in. Breathe the fuck out.
Think numbers.
Billionaire’s meditation.
That could be the name of this game. I forced myself to play it whenever I dealt with clients or partners who wasted my time. Instead of calling off all negotiations and telling everyone to fuck themselves, I told myself to breathe and calculated how much of my fortune was amassed by maintaining relationships with people I despised.
The answer was a lot.
And this evening, the answer was getting me through my meeting with Turner and Carter Roth. The California-bred trust fund babies had been semi-professional surfers as recently as three years ago. They had no detectable traces of common sense, discretion or business savvy, but since the passing of their father three months ago, they’d inherited seven billion dollars each and full control of Roth Entertainment Group, the world’s leading sports and entertainment presenter. They were behind everything from the world’s biggest boxing matches to rock concerts and tours, and they had no idea how powerful they were.
Thankfully, I did.
The downside was that I had a small window of time to strike a deal with them, which made every meeting increasingly urgent. And unfortunately, while we’d had four in person thus far, they pretty much all ended up like this – derailed by the sight of any moderately attractive face paired with long enough legs.
“Hey, Hoult,” Turner called over his shoulder. “I got a pretty girl who wants to say hi.”
I had just been burning holes in the back of his stupid head, but the moment he twisted around in his seat, my glare transitioned into something placid and easy.
“Yeah?”
“Yeah – listen, it’s her twentieth birthday today and it’s also her first time at Empire Stadium,” he said, wagging his brow and nodding at the leggy blonde to his left. She wore two braids under her Empires cap and a kid’s sized jersey as a dress. “Don’t you, uh… don’t you think she should get a nice tour from the owner of the American League champs? A nice, personal tour?” Turner threw in a wink, as if he’d been so subtle just now that I might need an extra hint to catch his drift. I offered the bright-eyed girl an almost-smile before looking back to him.
“You know, I did just have a thought.”
His eyebrows jumped high. “Yeah?”
“Yeah.” I paused till I had his full attention. “I was thinking we should take a trip out to the Biarritz property. You could get an in-person look at our clientele and all the improvements we’ve made since the – ”
“Ah, fuck, you’re talking business.” Turner winced and shook it off like I’d just tricked him into holding a pile of dog shit. “Jesus, man. I got excited for a second. I thought you were about to suggest we do some blow.”
“This is a family ballpark,” I said. “You fucking animal,” I had to add with irritation. Then I made sure to laugh. As long as I laughed, apparently, I could say anything. It was just taken as classic ball busting.
“Alright, easy. This guy here,” Turner chortled. “So, fine. No blow. But will you please be a gentleman and take…” He trailed off and eyed the blonde.
“Hayley,” she supplied.
“Hayley. Will you please take Hayley for a tour around the ballpark while I talk to...” He squinted at the girl in the chair to his right.
“Cass.”
“Cass,” Turner groaned skyward. “How could I forget? Cass with the ass,” he growled, smoothing a hand over her thighs. Then with his eyes back to me, he lowered his voice. “Give me twenty minutes tops. Then you, me and the kid will get back to work.”
By the kid, he meant his brother, Carter, who had been in the bathroom with Hayley’s friend for about ten minutes now. I blamed him for all of this. I had actually done a decent job of keeping Turner on topic about purchasing my resort till Carter went off with a girl. At that point, all hope was lost. As the older of the two, Turner was never to be outdone, and if the kid managed to close, then Turner had to as well.
Nodding at the blonde, I had her walk ahead of me out the suite. “Twenty minutes,” I repeated to Turner.
“Maybe thirty.”
“Fifteen now,” I said, hearing his snort before I walked out.
* * *
“Who’s that?” Emmett asked as I deposited the pigtailed blonde in his suite. It was a short walk from mine but a stark contrast. Despite the game, there was usually music blaring and the tables were littered with beer, wings and giant platters of sashimi. For the low-carb girls, Emmett would say, since he rarely attended a game without at least two or three model-looking things in tow.
Standing at the back of the suite, we overlooked both the game and the antics of his unique social circle. My younger brother’s friends ranged from lawyers to athletes to unemployed rich kids but they all had one thing in common: an affinity for drinking every night of the week.
“Her name is Hayley,” I answered Emmett’s question, watching Hayley instantly mingle with his friends. “I don’t actually know her.”
“Didn’t think so. Let me guess – you’re babysitting her for one of the Roths.”
“Bingo.”
Emmett snorted, twisting his baseball cap to the back and taking a swig of his beer. “I’d say forget them at this point but fuck, do those assholes have everything you need. And all that power just fell into their laps. They don’t even know what to do with it.”
“I’d prefer you not remind me.”
“Alright, let’s change the subject.” His pause was deliberately short. “Oh, wait, there’s no other subject with you besides work. Right?” I didn’t say anything because there was no point in correcting him. That, and I could sense a certain topic coming up that I had no interest in discussing. “Except…”
“Don’t.”
“There is a topic we still haven’t gotten the chance to clear up yet.”
“Drop it, Emmett.”
“Come on, dude. I need an explanation. Who was she? How’d you meet her? I’ve never seen you get so upset over a girl before.”
I dragged my palm over my jaw and grumbled under my breath. “I wasn’t upset over a girl. I was upset that you burst into the room while I was clearly in the middle of something with her.”
I didn’t want to think about it, but Christ, that night last week had been surreal. I’d been with my fair share of beautiful women, but the brunette I met Thursday night at the hotel had my dick half-hard even before I heard her talk about wanting to be pinned down and fucked senseless. Everything from her perfect tits to her nervous laugh made my dick jump. She was the sexual fantasy I never knew I had, and to say I was pissed I didn’t get to finish my night with her was a gross, incredibly offensive understatement.
Great.
Now I was thinking about her.
“I can tell you’re thinking about her.”
“Fuck off.”
“What?”
I looked at my brother. “I almost admire your nerve to singlehandedly fuck up my night then taunt me about it.”
“Are you mad at me or are you mad you’re not over it yet?”
“Both.”
“Christ, J.” Emmett’s mouth was stuffed with pizza as he laughed. “It’s not the craziest thing in the world if you think about a girl for more than one night.”
I don’t know. Five days later and I still hadn’t jerked off to any thought but her.
“Take it easy, brother. This just means you’re human for once. Besides, it’s New York. It’s a small city. You’ll run into her again.”
“It’s the fourth largest city in the world, but I appreciate your ability to always look on the bright side.” I handed him my beer. “I should get back to my suite.”
“Yeah, why not hurry up and wait. You’re gonna get back there just in time to hear the Roths face-fucking twenty-year-old girls in the bathroom.”
I grimaced. “Thank you for your colorful phrasing. And for putting that image in my head.”
“Anytime. Now sit your ass down and watch this game with me. You own this damned team, you might as well try to care about them like you actually did when we were kids.”
I shot him the look I generally did when I was getting thoroughly tired of his shit. Still, I took a seat and caught the last few outs before the seventh inning stretch, and as the customary rendition of “God Bless America” rang out, my mind drifted off.
I tugged on my lip.
God bless those fucking curves.
Thanks to Emmett, I was back to that dangerous rabbit hole of thinking about my mystery brunette from my night at the hotel. God bless those curves and the way those full tits jiggled when I spanked that perfect ass over the couch. Reliving the memory of her pink tongue on the tip of my dick was enough to get me both rock hard and pissed off, because I hadn’t even gotten her name.
All I’d gotten were her panties.
They were silky, black, and I could have left them in the hotel room after checking out, but at this very moment, they sat on my dresser at home, next to the silver plate I put my watch on at the end of the day. As far as I was concerned, they were mine now. They were my only reminder of the nameless knockout who’d gotten me so hard so fast that I was ready to chase her out when she left and fuck her on the street if I had to.
Of course, shortly after I yanked my pants back on, Emmett’s never-ending stream of friends came in, and just like that, she was lost forever.
But it was for the best.
That was at least what I told myself as I stared blankly at the field, watching the grounds crew prepare the dirt for the bottom of the seventh.
I had enough names to deal with. Turner Roth, Carter Roth, Hayley with the Braids, Cass with the Ass. Once I put a name to a face, I didn’t forget it. I’d built my business from the ground up and along the way, I’d discovered there was no predicting when information could come in handy, no matter how insignificant it seemed.
“Jennifer.” I stopped the waitress in the suite on her way out. She halted eagerly.
“Yes, Mr. Hoult?”
“I have to get back to the office, but I’d like you to do me a favor if you can.”
“Yes, sir. Absolutely.”
“I need you to go to my suite a few doors down. Turner Roth is the blonde-haired guy around six feet tall. He’s wearing a blue shirt and he’s with a girl in a yellow dress named Cass. I apologize in advance for whatever you might see them doing, but when they’re done, will you give him this?” I handed her the business card I’d just scrawled a message on the back of.
She laughed breathily. “Of course, sir.”
“Thank you, Jennifer.”
“You’re very welcome, Mr. Hoult.” She hung around quietly for a second, like she always did. Then she was off, and I was up from my seat, sliding my phone from my pocket.
I had let go of any illusions that I’d be able to recapture Turner’s attention tonight, so I decided to make the best of the situation by doing some maintenance. With a call, I reserved Turner the same penthouse I’d half-enjoyed last week at the Victorian Hotel, and I made sure to request a note beside the Cristal on ice, which would address both him and Cass – a simple gesture that would undoubtedly make her feel special, since making her feel special was at least half the battle in sealing the deal.
Yes, I was winging for the assholes.
Because like sex, business was about making the client feel special, taken care of – like something between a friend and a rock star. So if I couldn’t have a productive meeting with the Roths, then I was going to at least garner favor with them on a personal level by guaranteeing what they clearly cared about most – getting laid. Which was despicable, sure.
But too often, despicable happened to be great business.











4

SARA



This past week had not gone as planned – not by a long shot, and it showed on my face when Lia swung open the door of our favorite coffee shop and spotted me in the corner.
“Oh, bubs,” she instantly pouted.
I was sulking at our usual table, wearing a long red maxi-dress and epitomizing the phrase “all dressed up and nowhere to go.”
“I’m guessing dinner didn’t go so well.”
I made a face. “It was… bad. And awkward. And a little sexist at times.”
“What? What did he say?”
“Lots of stuff about how I should stop freaking out about being unemployed, that it’s okay for pretty girls to not have jobs. Then something about how women are actually a burden to companies, and maternity leave is unfair to men.”
“Wow,” Lia breathed. “That’s super charming for a first date.”
“Isn’t it?” I said dryly.
Out of desperation, I’d tried a date tonight. The match I found on Tinder was a Cornell grad with what looked like a nice smile and a nicer body. I hoped he could be a distraction from the fact that I’d sent out hundreds of resumes in the past week and gotten no replies. Six days wasn’t a ton of time to be out of a job but still, I was getting restless, antsy, and worst of all, I was getting pretty frequently distracted from my job hunt by memories of that beautiful fucking man I was oh-so-close to sleeping with at the hotel last week.
It sounded dramatic, but I was pretty sure he’d ruined me.
I couldn’t get dressed without looking at my own naked body and remembering the way he touched me, the way he licked my neck and kissed my breasts. In the shower, I ran my hands over the parts of me that he’d sucked and squeezed and spanked without mercy, and just thinking about that got me hotter than any sex I’d ever had.
It was torture. Pure torture.
The amount of times I had to pause my day and climb into my bed with my vibrator was actually embarrassing, so Josh from Tinder was my hope for relief.
But then he turned out to be a maternity leave-hating dickbag.
“It’s okay, girl. Onto the next, right?” Lia tried to brush it off.
