label,topic_id,hypothesis_mapping,cliffs_top_trash,top_median,trash_median,prevalence,mass
Careful Tune-up Before Night Out,265,S_Procedure,0.2222222222222222,0.0013575423738403352,0.0010688956151719063,0.75,0.001376069375145091
Compromising Photoshoot,266,H1_Explicit,0.40444444444444444,0.0009519725605867746,0.0008197391781352582,0.2391304347826087,0.0012267452523020998
Cocky Smirk During Argument,267,H5_Conflict,0.2311111111111111,0.0010963491981302988,0.0008770412155930632,0.532608695652174,0.0012737052458199883
Tearful Sobbing,270,H5_Conflict,0.24,0.0020828371729523644,0.001683075520771963,0.9565217391304348,0.0019363516251827803
Reluctant Relationship Talk,272,H5_Conflict,-0.30444444444444446,0.0019895405057981227,0.0022795939211098888,0.967391304347826,0.0021209024643589996
Growling During Intimacy,280,Unclassified,0.24444444444444444,0.0035840794770947027,0.0030410714708721835,1.0,0.003994435441481896
Sleeping Together,281,S_Procedure,0.30444444444444446,0.0015890533798993563,0.0013468179623871276,0.8586956521739131,0.0015886458088545507
Size Comparison Conversation,285,H4_Emotional,0.2822222222222222,0.0031542403058301754,0.0025853927685469194,0.9782608695652174,0.002804159501209923
Classical Music Appreciation,289,H2_Commitment; H4_Emotional,0.25555555555555554,0.001605820787207922,0.0012825264177657042,0.8043478260869565,0.0015363454117573363
Grateful Expressions,299,Unclassified,0.20666666666666667,0.001849736397977975,0.001779589936097315,1.0,0.0018997345212027807
Living Life To Fullest,303,Unclassified,0.32,0.0023801889773227723,0.002052076190442216,0.9347826086956522,0.002166131600390503
Local Honey Accident,304,Unclassified,0.38222222222222224,0.0004929793613340288,0.00031200176197497716,0.11956521739130435,0.0005935299653364179
Playful Laughter In Fun Setting,306,H2_Commitment; H4_Emotional,0.22444444444444445,0.0007461198541893112,0.0006774614747140107,0.2826086956521739,0.0008849540042871048
Clitoral Stimulation During game,308,H1_Explicit,-0.26222222222222225,0.001737036035319392,0.0018502591369275786,0.9130434782608695,0.0017854974117622337
Feminist Identity Affirmation,310,Unclassified,0.3711111111111111,0.002584287029115407,0.002216522204658805,1.0,0.002550054631769833
Yearlong Relationship Reflection,311,H3_LuxuryWork,0.20666666666666667,0.004880256412054763,0.004256866721060016,1.0,0.004629805454641309
Stubble And Tousled Hair,312,Unclassified,0.22444444444444445,0.0063425026010219075,0.004530508225569918,1.0,0.006022421712233266
Adrenaline-fueled Racing,313,Unclassified,0.3888888888888889,0.0015216408256892738,0.0007443825644751025,0.5,0.0012391893989279511
Mutual Clitoral Stimulation,318,H1_Explicit,0.3088888888888889,0.002303622183990295,0.001846515255711399,1.0,0.002216581717735534
Nighttime Carousel Conversation,319,H2_Commitment; H4_Emotional,0.20666666666666667,0.0016069065834918464,0.0014575134440112758,0.8913043478260869,0.001647041224035482
Emotional Relationship Delusion,321,H4_Emotional; H5_Conflict,0.40444444444444444,0.002532751268374652,0.002060938562550247,0.9782608695652174,0.002774832491108677
Owl Observation,325,H5_Conflict; S_Procedure,0.23777777777777778,0.0009486745932528688,0.0007664405972306705,0.41304347826086957,0.0009260627899212125
Intense Moaning During Foreplay,328,H1_Explicit,0.2577777777777778,0.0014518858079260472,0.0012603187929319496,0.7934782608695652,0.0014357040994662797
Parenting And Care Routine,329,Unclassified,0.23333333333333334,0.0022646606681101986,0.002015229346280902,1.0,0.0025848062559956295
Smiling And Laughing Together,330,H2_Commitment; H4_Emotional,0.39555555555555555,0.0013173243373097807,0.0009635631177111993,0.6195652173913043,0.0014135581314144556
Freshman Roommate Awakening,338,H1_Explicit,0.32666666666666666,0.0017549683849051147,0.0015400833006130993,0.9456521739130435,0.0021821830653665068
Prolonged Waiting,339,H5_Conflict,0.3488888888888889,0.0017282604130071963,0.0013746468590400828,0.8478260869565217,0.0016315826624129475
Mistaken Accusations,342,H5_Conflict,0.2777777777777778,0.0018934478077021297,0.001677442957901549,0.9891304347826086,0.0017979492992967023
Sisters Reflecting On Childhood,350,Unclassified,0.2822222222222222,0.005952181395022149,0.004934146463309055,1.0,0.005643969915660499
Indoor Pool Swimming,351,S_Procedure,0.20222222222222222,0.009039426974387595,0.008365788443959896,1.0,0.009074194602721217
Wrongful Termination Discussion,352,Unclassified,-0.23333333333333334,0.001119073079617922,0.0014123661245527708,0.7934782608695652,0.001446161468326332
Regretful Realizations,353,H5_Conflict,0.2222222222222222,0.0018223363784662066,0.0016217417794561896,0.9891304347826086,0.0017865783661333383
Blushing Cheeks Conversation,355,H4_Emotional,0.21333333333333335,0.002230764800280484,0.0016960763325882997,0.9130434782608695,0.002169402551518919
Relaxing Moment,360,Unclassified,0.24888888888888888,0.00663026337109945,0.005768453518727836,0.9891304347826086,0.006113079327140518
Adorable Nephew And Schnoodle,362,Unclassified,0.2111111111111111,0.0021301569808833782,0.0018168151222545555,0.9347826086956522,0.0021202158530543233
Goofball's Webcam Connection,363,H2_Commitment; H4_Emotional,0.25333333333333335,0.003400509388723454,0.002956259140057342,0.9782608695652174,0.0037570600567744246
Morning Grooming In Bathroom,365,S_Procedure,0.3,0.003099926099993565,0.0026984447093057508,1.0,0.002924759221107226
