book_id,segment,sum_prob
55590890,middle,0.9999999999999999
55738401,begin,1.0000000000000002
55738401,end,1.0000000000000002
55738401,middle,1.0
55817097,begin,0.9999999999999999
55817097,end,1.0
55817097,middle,1.0
55849103,begin,1.0
55849103,end,1.0
55849103,middle,1.0
56916467,begin,1.0
56916467,end,1.0
56916467,middle,1.0
57200226,begin,1.0000000000000002
57200226,end,1.0
57200226,middle,1.0
57216633,begin,0.9999999999999999
57216633,end,1.0000000000000002
57216633,middle,1.0
58013278,begin,1.0
58013278,end,0.9999999999999999
58013278,middle,1.0
58995736,begin,1.0000000000000002
58995736,end,1.0
58995736,middle,0.9999999999999999
60217302,begin,1.0
60217302,end,1.0
60217302,middle,0.9999999999999999
60416566,begin,1.0
60416566,end,1.0
60416566,middle,0.9999999999999999
60576722,begin,1.0
60576722,end,1.0
60576722,middle,1.0
60686882,begin,1.0000000000000002
60686882,end,1.0
60686882,middle,1.0
60797616,begin,1.0
60797616,end,0.9999999999999999
60797616,middle,1.0
60809640,begin,0.9999999999999999
60809640,end,1.0
60809640,middle,1.0
61229235,begin,0.9999999999999999
61229235,end,1.0
61229235,middle,0.9999999999999998
61273778,begin,1.0
61273778,end,0.9999999999999999
61273778,middle,1.0
62316382,begin,1.0
62316382,end,0.9999999999999999
62316382,middle,1.0
62322599,begin,1.0
62322599,end,1.0000000000000002
62322599,middle,1.0
62626163,begin,1.0
62626163,end,1.0
62626163,middle,1.0
63046139,begin,1.0
63046139,end,1.0
63046139,middle,1.0
63095160,begin,1.0
63095160,end,1.0
63095160,middle,1.0
63130875,begin,1.0
63130875,end,0.9999999999999999
63130875,middle,1.0
63830782,begin,0.9999999999999999
63830782,end,1.0000000000000002
63830782,middle,1.0
75599070,begin,1.0
75599070,end,1.0
75599070,middle,1.0
8686068,begin,1.0
8686068,end,1.0
8686068,middle,0.9999999999999999
