Topic,Count,Name,Representation,n_pos_words,pos_words,coherence_c_v_pos,flag_small,flag_few_pos,flag_low_coh,noise_reason,noise_candidate,inspection_label
190,282,190_et_religion_priest_deity,"['et', 'religion', 'priest', 'deity', 'salvation', 'religious', 'puke', 'showering', 'greek', 'fondler', 'biblically', 'favorably', 'swear', 'thousanda', 'exercised', 'crippled', 'crazya', 'archaic', 'resenting', 'selective', 'talka', 'multimillion', 'believe', 'boosts', 'podium', 'underhanded', 'contains']",10.0,"['et', 'religion', 'priest', 'deity', 'salvation', 'religious', 'greek', 'fondler', 'biblically', 'archaic']",0.1488653393743008,False,False,False,,False,190_et_religion_priest_deity
81,535,81_parents_children_kids_families,"['parents', 'children', 'kids', 'families', 'familya', 'aunts', 'uncles', 'parentsa', 'theya', 'grow', 'member', 'want', 'parent', 'raise', 'parenting', 'adopt', 'inherit', 'traditional', 'cousins', 'important', 'conceive', 'dona', 'stability', 'someday', 'raising', 'dada', 'relatives']",10.0,"['parents', 'children', 'kids', 'families', 'aunts', 'uncles', 'want', 'parenting', 'traditional', 'cousins']",0.149391474495478,False,False,False,,False,81_parents_children_kids_families
196,270,196_attractive_hea_incredibly_refined,"['attractive', 'hea', 'incredibly', 'refined', 'devastatingly', 'handsomeness', 'irresistible', 'looks', 'endowed', 'looked', 'seen', 'quite', 'objectively', 'extremely', 'lookeda', 'looking', 'physically', 'attracted', 'features', 'stunning', 'charmed', 'wickedly', 'hollywood', 'magnificent', 'photos', 'movie', 'unquestionably']",10.0,"['attractive', 'refined', 'handsomeness', 'irresistible', 'looks', 'features', 'stunning', 'hollywood', 'magnificent', 'photos']",0.14984440208726657,False,False,False,,False,196_attractive_hea_incredibly_refined
154,328,154_pregnancy_test_unplanned_weeks,"['pregnancy', 'test', 'unplanned', 'weeks', 'months', 'fianca', 'birth', 'conception', 'injection', 'childbirth', 'gyn', 'maternity', 'month', 'vitamins', 'lines', 'clause', 'class', 'immaculate', 'early', 'youa', 'unless', 'science', 'told', 'unlikely', 'guess', 'faking', 'percent']",10.0,"['pregnancy', 'test', 'unplanned', 'weeks', 'months', 'birth', 'conception', 'injection', 'childbirth', 'maternity']",0.15749972191516481,False,False,False,,False,154_pregnancy_test_unplanned_weeks
112,420,112_rain_winter_wet_raining,"['rain', 'winter', 'wet', 'raining', 'chilly', 'icy', 'snowing', 'rained', 'flakes', 'freezing', 'colder', 'glacier', 'weather', 'outside', 'sky', 'snowy', 'rainstorm', 'skies', 'wind', 'air', 'rains', 'soaked', 'umbrella', 'temperature', 'snowflakes', 'sheets', 'wetter']",10.0,"['rain', 'winter', 'wet', 'chilly', 'icy', 'flakes', 'colder', 'glacier', 'sky', 'snowy']",0.1681921288703654,False,False,False,,False,112_rain_winter_wet_raining
325,163,325_owl_leta_herea_repeats,"['owl', 'leta', 'herea', 'repeats', 'elf', 'alternatives', 'feed', 'presentable', 'watercolor', 'hopelessness', 'traps', 'glum', 'badger', 'flounced', 'trotting', 'passageway', 'instructs', 'prod', 'discuss', 'meatball', 'merit', 'bluffing', 'preference', 'complied', 'backstory', 'granddaughter', 'grin']",10.0,"['owl', 'repeats', 'alternatives', 'hopelessness', 'presentable', 'watercolor', 'glum', 'passageway', 'instructs', 'prod']",0.168937325510431,False,False,False,,False,325_owl_leta_herea_repeats
72,571,72_natea_hockey_game_bankers,"['natea', 'hockey', 'game', 'bankers', 'router', 'weirdly', 'corporate', 'general', 'famously', 'teama', 'offer', 'box', 'says', 'division', 'jinxing', 'checkpoint', 'ignores', 'travel', 'furthera', 'stunned', 'player', 'whisking', 'manager', 'offs', 'ibits', 'humor', 'gulfstream']",10.0,"['hockey', 'game', 'bankers', 'router', 'corporate', 'general', 'offer', 'box', 'division', 'checkpoint']",0.1821263627838228,False,False,False,,False,72_natea_hockey_game_bankers
342,154,342_wrong_somethinga_terribly_wrongs,"['wrong', 'somethinga', 'terribly', 'wrongs', 'feels', 'harbinger', 'critics', 'uncharacteristic', 'peculiar', 'event', 'horribly', 'westa', 'gentlemen', 'levels', 'righta', 'mistaken', 'case', 'gone', 'scenario', 'article', 'aa', 'ladies', 'surely', 'ita', 'behavior', 'adds', 'attitude']",10.0,"['wrong', 'wrongs', 'harbinger', 'critics', 'uncharacteristic', 'peculiar', 'event', 'gentlemen', 'levels', 'mistaken']",0.1841777121378327,False,False,False,,False,342_wrong_somethinga_terribly_wrongs
320,165,320_feelsa_feela_better_feels,"['feelsa', 'feela', 'better', 'feels', 'felta', 'feeling', 'soa', 'makes', 'felt', 'queasy', 'define', 'make', 'somethinga', 'holda', 'shittier', 'delusion', 'energized', 'feelings', 'devastation', 'corset', 'liberating', 'expressing', 'tingly', 'vu', 'pointy', 'territorial', 'reallya']",10.0,"['better', 'feeling', 'queasy', 'shittier', 'delusion', 'energized', 'feelings', 'corset', 'devastation', 'liberating']",0.18447589206244008,False,False,False,,False,320_feelsa_feela_better_feels
83,524,83_goats_dogs_animal_puppies,"['goats', 'dogs', 'animal', 'puppies', 'animals', 'sheep', 'pet', 'lion', 'pets', 'hound', 'herd', 'videos', 'doga', 'shepherd', 'retriever', 'barking', 'bulldog', 'tail', 'remove', 'sing', 'labrador', 'pit', 'pigs', 'german', 'paws', 'lamb', 'submissive']",10.0,"['goats', 'dogs', 'animal', 'puppies', 'animals', 'sheep', 'pet', 'lion', 'pets', 'herd']",0.18448044336502836,False,False,False,,False,83_goats_dogs_animal_puppies
302,179,302_gun_weapon_bullets_pistol,"['gun', 'weapon', 'bullets', 'pistol', 'guns', 'barrel', 'rifle', 'gunshot', 'aimed', 'shotgun', 'trigger', 'weapons', 'loaded', 'shot', 'lung', 'fired', 'disposal', 'shooting', 'pressed', 'holding', 'tuck', 'mana', 'trained', 'metallic', 'hundredth', 'tarona', 'dodged']",10.0,"['gun', 'weapon', 'bullets', 'pistol', 'guns', 'barrel', 'rifle', 'gunshot', 'shotgun', 'trigger']",0.18662122980538762,False,False,False,,False,302_gun_weapon_bullets_pistol
191,280,191_eddiea_wasn_onboarding_didn,"['eddiea', 'wasn', 'onboarding', 'didn', 'couldn', 'blinked', 'mitchella', 'meeting', 'complied', 'karaoke', 'concluded', 'grinned', 'client', 'privately', 'remark', 'receiving', 'approved', 'unexpectedly', 'agreed', 'clapped', 'ear', 'shouldn', 'exclaimed', 'appreciate', 'orbiting', 'ddie', 'gamely']",10.0,"['meeting', 'karaoke', 'client', 'remark', 'disuse', 'usual', 'research', 'baton', 'trainers', 'ballbuster']",0.19067934111369786,False,False,False,,False,191_eddiea_wasn_onboarding_didn
348,149,348_seminar_swallowed_received_geniuses,"['seminar', 'swallowed', 'received', 'geniuses', 'brochures', 'slackened', 'clients', 'spiel', 'didn', 'pharmaceuticals', 'wasn', 'brothel', 'backfired', 'brochure', 'challenge', 'confuse', 'sifted', 'inflection', 'fired', 'hasty', 'vp', 'slimy', 'cleared', 'hoped', 'remembered', 'fellow', 'information']",10.0,"['seminar', 'geniuses', 'brochures', 'clients', 'spiel', 'pharmaceuticals', 'brothel', 'brochure', 'challenge', 'inflection']",0.19078723067559533,False,False,False,,False,348_seminar_swallowed_received_geniuses
352,148,352_fired_lawyers_attorney_terminated,"['fired', 'lawyers', 'attorney', 'terminated', 'termination', 'resign', 'assets', 'case', 'getting', 'temping', 'prosecution', 'wrongful', 'attorneya', 'hire', 'disinherited', 'banker', 'shortening', 'notified', 'job', 'editors', 'mindset', 'standby', 'incriminating', 'sued', 'finalize', 'deserved', 'davea']",10.0,"['lawyers', 'attorney', 'termination', 'assets', 'case', 'prosecution', 'wrongful', 'banker', 'job', 'editors']",0.19123257423435547,False,False,False,,False,352_fired_lawyers_attorney_terminated
232,235,232_won_winning_firsthand_blah,"['won', 'winning', 'firsthand', 'blah', 'wins', 'prize', 'earn', 'arena', 'importantlya', 'definitely', 'interpretation', 'tigers', 'anecdote', 'pennsylvania', 'ladies', 'bidders', 'beginner', 'lookout', 'comes', 'convoluted', 'disturbingly', 'practice', 'fluke', 'sixteenth', 'accordingly', 'advancing', 'whoevera']",10.0,"['firsthand', 'blah', 'prize', 'interpretation', 'anecdote', 'tigers', 'bidders', 'beginner', 'lookout', 'convoluted']",0.19323928911618488,False,False,False,,False,232_won_winning_firsthand_blah
218,247,218_pigeon_birds_duck_duckling,"['pigeon', 'birds', 'duck', 'duckling', 'chirping', 'wings', 'speculate', 'pecking', 'crows', 'antics', 'feathers', 'lizards', 'squawking', 'carnivorous', 'vulture', 'flight', 'birdwatching', 'squawked', 'feeding', 'overhead', 'goose', 'feathered', 'rescue', 'mercenary', 'beings', 'flap', 'peacock']",10.0,"['pigeon', 'birds', 'duckling', 'chirping', 'wings', 'crows', 'antics', 'feathers', 'lizards', 'carnivorous']",0.19403592231649233,False,False,False,,False,218_pigeon_birds_duck_duckling
251,211,251_georgiaa_thosea_press_conference,"['georgiaa', 'thosea', 'press', 'conference', 'yelped', 'scolded', 'giggled', 'cursing', 'laughed', 'called', 'mojo', 'oversharing', 'metabolism', 'fetches', 'genuineness', 'guys', 'whata', 'instinctual', 'associating', 'tampaa', 'convo', 'condone', 'tigers', 'encountering', 'foresee', 'cameraman', 'insightful']",10.0,"['press', 'conference', 'cursing', 'mojo', 'metabolism', 'genuineness', 'guys', 'instinctual', 'louisville', 'discrimination']",0.195316998249507,False,False,False,,False,251_georgiaa_thosea_press_conference
194,274,194_authors_acknowledgments_authora_reviews,"['authors', 'acknowledgments', 'authora', 'reviews', 'reading', 'purchase', 'series', 'thank', 'authorized', 'fiction', 'novella', 'read', 'permission', 'writing', 'review', 'editors', 'write', 'mate', 'novel', 'electronic', 'publisher', 'pc', 'culture', 'supports', 'distributed', 'supporting', 'tweet']",10.0,"['authors', 'acknowledgments', 'reviews', 'purchase', 'series', 'fiction', 'novella', 'permission', 'writing', 'review']",0.1977179664335604,False,False,False,,False,194_authors_acknowledgments_authora_reviews
356,146,356_fight_fighting_fought_battle,"['fight', 'fighting', 'fought', 'battle', 'fights', 'battles', 'dragons', 'feud', 'war', 'confrontation', 'fighter', 'supremacy', 'blowback', 'losing', 'martial', 'gigia', 'disagreements', 'stronga', 'staked', 'rebels', 'injure', 'sullenly', 'reconciliation', 'dissipates', 'inner', 'diffuse', 'sparring']",10.0,"['fight', 'battle', 'fights', 'battles', 'dragons', 'feud', 'war', 'confrontation', 'fighter', 'supremacy']",0.19849566410748268,False,False,False,,False,356_fight_fighting_fought_battle
90,473,90_hospital_surgeon_surgery_doctors,"['hospital', 'surgeon', 'surgery', 'doctors', 'trauma', 'doctora', 'medical', 'appointment', 'er', 'clinic', 'operating', 'specialist', 'patients', 'hospitals', 'nurses', 'tests', 'attending', 'anesthesiologist', 'visit', 'spoke', 'personnel', 'paged', 'physician', 'consult', 'room', 'results', 'scrubs']",10.0,"['hospital', 'surgeon', 'surgery', 'doctors', 'trauma', 'medical', 'appointment', 'clinic', 'operating', 'specialist']",0.19956765119719766,False,False,False,,False,90_hospital_surgeon_surgery_doctors
313,171,313_race_frowns_begins_starts,"['race', 'frowns', 'begins', 'starts', 'racing', 'brace', 'races', 'deluge', 'prebuyers', 'thoroughbred', 'adrenaline', 'makes', 'runners', 'humbling', 'erected', 'whirring', 'lacing', 'wantsa', 'armpits', 'scold', 'nuzzles', 'hollows', 'downs', 'forbid', 'desirable', 'tenth', 'sweat']",10.0,"['race', 'racing', 'races', 'deluge', 'prebuyers', 'thoroughbred', 'adrenaline', 'runners', 'armpits', 'downs']",0.2000122494626085,False,False,False,,False,313_race_frowns_begins_starts
274,195,274_clubs_members_exclusive_cluba,"['clubs', 'members', 'exclusive', 'cluba', 'stag', 'wilder', 'restaurants', 'member', 'strip', 'whores', 'frequent', 'voyeur', 'nightclub', 'guys', 'joining', 'mission', 'mile', 'miracle', 'alliances', 'congregated', 'bound', 'demographic', 'high', 'lives', 'moulin', 'masquerading', 'crannies']",10.0,"['clubs', 'members', 'exclusive', 'stag', 'wilder', 'restaurants', 'member', 'strip', 'whores', 'frequent']",0.20121623676991307,False,False,False,,False,274_clubs_members_exclusive_cluba
106,433,106_wasa_thata_likea_sa,"['wasa', 'thata', 'likea', 'sa', 'wella', 'uha', 'meana', 'alsoa', 'thisa', 'oha', 'hmma', 'anda', 'ofa', 'totally', 'knowa', 'meansa', 'verya', 'toucha', 'yesa', 'huha', 'facta', 'thena', 'umma', 'littlea', 'saya', 'beena', 'thoughta']",6.0,"['lines', 'easy', 'understandable', 'item', 'idea', 'night']",0.20138576858989374,False,False,False,,False,106_wasa_thata_likea_sa
217,248,217_snarky_innit_arouses_raincheck,"['snarky', 'innit', 'arouses', 'raincheck', 'hangina', 'bye', 'tough', 'frisky', 'naw', 'sidekick', 'listen', 'havena', 'calls', 'deflecting', 'obedient', 'dope', 'showa', 'peg', 'hoo', 'mornina', 'coerce', 'called', 'careful', 'endearment', 'conventional', 'tomorrow', 'coaxed']",10.0,"['snarky', 'raincheck', 'tough', 'frisky', 'sidekick', 'obedient', 'dope', 'peg', 'hoo', 'coerce']",0.20144802058775452,False,False,False,,False,217_snarky_innit_arouses_raincheck
109,425,109_wealthy_richest_millionaire_eligible,"['wealthy', 'richest', 'millionaire', 'eligible', 'billionairea', 'wealthiest', 'wealth', 'worlda', 'billion', 'world', 'businessman', 'male', 'dollar', 'net', 'envied', 'bachelor', 'businessmen', 'article', 'spoiled', 'lifestyle', 'folks', 'cocky', 'planet', 'royalty', 'leslienorthbooks', 'overachieving', 'lifestyles']",10.0,"['wealthy', 'richest', 'millionaire', 'eligible', 'wealthiest', 'wealth', 'world', 'businessman', 'male', 'dollar']",0.20484128636018487,False,False,False,,False,109_wealthy_richest_millionaire_eligible
311,171,311_wea_shared_downs_cycle,"['wea', 'shared', 'downs', 'cycle', 'yearlong', 'created', 'worked', 'years', 'squared', 'accidentally', 'thousands', 'provided', 'arrived', 'crashed', 'holiday', 'spent', 'lived', 'times', 'managed', 'connected', 'restoration', 'tennessee', 'iowa', 'apart', 'london', 'chemists', 'phases']",10.0,"['downs', 'cycle', 'yearlong', 'years', 'thousands', 'holiday', 'times', 'restoration', 'chemists', 'phases']",0.20544264512718283,False,False,False,,False,311_wea_shared_downs_cycle
225,244,225_early_latea_ita_minutes,"['early', 'latea', 'ita', 'minutes', 'bylaws', 'wasn', 'stipulate', 'realized', 'mosquitoes', 'technically', 'arises', 'votes', 'leave', 'unreliable', 'alerting', 'furtive', 'ifs', 'percentage', 'conference', 'alas', 'diagnosis', 'attendees', 'transportation', 'dunno', 'wedged', 'clarify', 'chap']",10.0,"['early', 'minutes', 'bylaws', 'mosquitoes', 'furtive', 'unreliable', 'ifs', 'percentage', 'conference', 'diagnosis']",0.20548749420218315,False,False,False,,False,225_early_latea_ita_minutes
353,148,353_regret_regrets_regretted_regretfully,"['regret', 'regrets', 'regretted', 'regretfully', 'regretting', 'happened', 'wona', 'realizations', 'validity', 'runny', 'acted', 'entree', 'dona', 'bring', 'live', 'profoundly', 'eon', 'later', 'scandals', 'liable', 'remedy', 'voicing', 'things', 'doubles', 'elicited', 'guilt', 'immense']",10.0,"['regret', 'regrets', 'realizations', 'validity', 'runny', 'entree', 'eon', 'scandals', 'liable', 'things']",0.20716983957913976,False,False,False,,False,353_regret_regrets_regretted_regretfully
55,717,55_wants_want_knows_needs,"['wants', 'want', 'knows', 'needs', 'need', 'hera', 'needed', 'teach', 'ita', 'likes', 'dona', 'think', 'thata', 'gratification', 'wantsa', 'cana', 'definitely', 'wanted', 'includes', 'doga', 'tell', 'gets', 'belong', 'possess', 'means', 'course', 'desires']",10.0,"['gratification', 'means', 'course', 'world', 'dominatrix', 'pretenses', 'spc', 'thing', 'sexual', 'devices']",0.20769621376856046,False,False,False,,False,55_wants_want_knows_needs
193,277,193_patricka_yells_dopey_friend,"['patricka', 'yells', 'dopey', 'friend', 'nervously', 'announces', 'nudging', 'presents', 'birthday', 'wasted', 'greet', 'instigating', 'shrugged', 'punched', 'dovey', 'lovey', 'shot', 'falls', 'wondered', 'asked', 'chasing', 'best', 'babes', 'trailed', 'visitorsa', 'antagonistic', 'chickenshit']",10.0,"['yells', 'dopey', 'friend', 'announces', 'birthday', 'instigating', 'lovey', 'dovey', 'shot', 'best']",0.20801517051109084,False,False,False,,False,193_patricka_yells_dopey_friend
214,253,214_lottiea_asks_says_question,"['lottiea', 'asks', 'says', 'question', 'questiona', 'omg', 'connect', 'answer', 'say', 'whata', 'naughtiest', 'domesticated', 'defiled', 'oooo', 'thankfully', 'second', 'scapegoat', 'yessss', 'extras', 'fazed', 'woulda', 'questions', 'adds', 'treasures', 'funnya', 'nag', 'important']",10.0,"['question', 'omg', 'answer', 'naughtiest', 'second', 'scapegoat', 'questions', 'important', 'evasive', 'fictional']",0.20896177827902127,False,False,False,,False,214_lottiea_asks_says_question
134,376,134_cadea_audreya_archera_necks,"['cadea', 'audreya', 'archera', 'necks', 'daphnea', 'glanced', 'told', 'curious', 'breakthroughs', 'campus', 'crush', 'sister', 'philanthropist', 'factored', 'demeanor', 'friendly', 'debt', 'friend', 'spending', 'wouldna', 'discussed', 'hacked', 'withering', 'drugs', 'looked', 'shitty', 'bit']",10.0,"['necks', 'curious', 'breakthroughs', 'campus', 'crush', 'sister', 'philanthropist', 'demeanor', 'friendly', 'debt']",0.209207584800365,False,False,False,,False,134_cadea_audreya_archera_necks
310,172,310_foremost_tend_feminine_ama,"['foremost', 'tend', 'feminine', 'ama', 'ladies', 'feminist', 'conscious', 'especially', 'godawful', 'experience', 'materiala', 'needier', 'calcium', 'demographic', 'rarer', 'politically', 'liberation', 'subservient', 'estrogen', 'scientists', 'effect', 'genteel', 'complicated', 'fledged', 'curvier', 'user', 'female']",10.0,"['feminine', 'ladies', 'feminist', 'conscious', 'godawful', 'experience', 'needier', 'calcium', 'rarer', 'demographic']",0.20976705745569363,False,False,False,,False,310_foremost_tend_feminine_ama
249,213,249_believe_admit_cana_expect,"['believe', 'admit', 'cana', 'expect', 'macka', 'validity', 'scotcha', 'ehh', 'prophecy', 'laminate', 'garage', 'olda', 'tell', 'recount', 'manure', 'unfiltered', 'acknowledgement', 'beinga', 'incentive', 'significance', 'gush', 'references', 'strongest', 'fulfilling', 'paigea', 'constricts', 'fiber']",10.0,"['validity', 'laminate', 'prophecy', 'garage', 'manure', 'acknowledgement', 'unfiltered', 'incentive', 'significance', 'references']",0.21107086077990478,False,False,False,,False,249_believe_admit_cana_expect
32,1193,32_firmly_offense_answered_youa,"['firmly', 'offense', 'answered', 'youa', 'say', 'flatly', 'problem', 'replied', 'saying', 'wona', 'shook', 'ita', 'answer', 'reply', 'quickly', 'did', 'head', 'worries', 'dona', 'want', 'intercourse', 'thata', 'plans', 'countered', 'asked', 'says', 'didna']",10.0,"['offense', 'say', 'answer', 'head', 'worries', 'intercourse', 'plans', 'word', 'question', 'hesitation']",0.21257017951710297,False,False,False,,False,32_firmly_offense_answered_youa
344,153,344_slow_slower_motion_slows,"['slow', 'slower', 'motion', 'slows', 'snail', 'slowing', 'process', 'pace', 'controlled', 'experimentation', 'pitfalls', 'garnered', 'gripe', 'weekday', 'circles', 'rally', 'witted', 'speed', 'steady', 'unfolding', 'industries', 'tempered', 'deep', 'agonizing', 'taking', 'simmer', 'firm']",10.0,"['slow', 'slower', 'motion', 'snail', 'process', 'pace', 'experimentation', 'pitfalls', 'weekday', 'circles']",0.21313919396797193,False,False,False,,False,344_slow_slower_motion_slows
