Embeddings_Model,Iteration,Coherence,Topic_Diversity,bertopic__min_topic_size,bertopic__top_n_words,hdbscan__min_cluster_size,hdbscan__min_samples,umap__min_dist,umap__n_components,umap__n_neighbors,vectorizer__min_df,Coherence_norm,Topic_Diversity_norm,Combined_Score,Pareto_Efficient_All,Pareto_Efficient_PerModel
paraphrase-mpnet-base-v2,67,0.3844052022067325,0.6489795918367347,94,22,387,75,0.0030428289491247545,8,9,0.005029537585199442,0.5994618049722407,0.2854777096655232,0.44246975731888194,False,False
paraphrase-mpnet-base-v2,70,0.3452451068525798,0.6725888324873096,175,40,169,63,0.0046240435903718525,9,7,0.006217028352222916,0.40051275774320794,0.3461710865851737,0.3733419221641908,False,False
paraphrase-mpnet-base-v2,71,0.31642756292023455,0.7454545454545455,97,22,82,63,0.006025943188203066,3,5,0.0022596591099025435,0.25410803484937294,0.5334903759724761,0.3937992054109245,False,False
paraphrase-mpnet-base-v2,72,0.3365126183945467,0.7189723320158102,55,26,88,98,0.0001509535300040277,4,8,0.008301355851922581,0.35614820135098313,0.4654113138081175,0.4107797575795503,False,False
paraphrase-mpnet-base-v2,74,0.3254824782409105,0.7142857142857143,140,16,76,92,0.011675036425908471,5,7,0.008817314057328562,0.30011064948797617,0.4533632068579221,0.3767369281729491,False,False
paraphrase-mpnet-base-v2,75,0.3184133140475449,0.7451724137931034,239,24,66,83,0.006124091375708752,3,5,0.006687525478755587,0.26419644988614777,0.5327650869416976,0.39848076841392266,False,False
paraphrase-mpnet-base-v2,78,0.34019605553002646,0.6915989159891599,27,30,53,71,0.004683863189860305,10,6,0.009865706564198159,0.374861544666528,0.39504119555344874,0.38495137010998837,False,False
paraphrase-mpnet-base-v2,79,0.2988578997660826,0.7127659574468085,192,35,414,68,0.01770164470412076,2,7,0.009964090303189871,0.16484707383685349,0.4494562970163436,0.30715168542659854,False,False
paraphrase-mpnet-base-v2,80,0.28545796060918055,0.710204081632653,128,11,143,20,0.09048074278944968,2,7,0.008506576875099578,0.0967699891392042,0.442870363283397,0.2698201762113006,False,False
paraphrase-mpnet-base-v2,81,0.3567656349226723,0.6627777777777778,119,33,199,87,0.004309720936558493,8,7,0.007153113578393086,0.45904167761411374,0.32094935030495897,0.38999551395953636,False,False
paraphrase-mpnet-base-v2,82,0.31084110800697573,0.9,188,35,296,100,0.004305714081885326,3,6,0.003951144705199517,0.2257265952147287,0.9307875894988067,0.5782570923567677,False,False
paraphrase-mpnet-base-v2,83,0.4277989362219813,0.6397727272727273,172,10,448,79,0.039189642986098734,8,7,0.009943923610419746,0.8199194407355899,0.2618091931934414,0.5408643169645156,False,False
paraphrase-mpnet-base-v2,85,0.3793288231933895,0.6676190476190477,81,14,409,60,0.050389368354843735,6,6,0.00994618718050888,0.5736717562263316,0.3333950286558538,0.4535333924410927,False,False
paraphrase-mpnet-base-v2,86,0.34451404925003115,0.6676975945017182,34,25,139,29,0.0835512469423039,6,6,0.009978047036107818,0.3967986908549317,0.3335969527933702,0.36519782182415095,False,False
paraphrase-mpnet-base-v2,87,0.33859765702594824,0.6876543209876543,241,38,151,43,0.015360370812887927,10,8,0.009969256446350945,0.36674103687402204,0.38490064106611444,0.37582083897006824,False,False
paraphrase-mpnet-base-v2,89,0.3405933828223832,0.6845679012345679,249,40,129,10,0.007396172835061899,9,6,0.006919600574869988,0.3768801272449813,0.3769662377458718,0.37692318249542656,False,False
paraphrase-mpnet-base-v2,91,0.4093304502754886,0.6619565217391304,117,12,397,75,0.0062934241973374395,10,7,0.009931323799984806,0.7260920981413417,0.3188381090736594,0.5224651036075005,False,False
paraphrase-mpnet-base-v2,92,0.29000929466013614,0.7267741935483871,57,32,60,14,0.004112515609286239,10,8,0.001814076801842509,0.11989259813363407,0.4854679234077186,0.30268026077067633,False,False
paraphrase-mpnet-base-v2,94,0.3165182171167261,0.7307692307692307,129,35,441,74,0.004171170467948016,2,7,0.006968553264355773,0.25456859465792814,0.4957381520627342,0.37515337336033117,False,False
paraphrase-mpnet-base-v2,95,0.3240299615829782,0.7091743119266055,39,28,60,87,0.04565711254050678,9,6,0.007559679268139056,0.292731280194656,0.44022308623477846,0.36647718321471723,False,False
paraphrase-mpnet-base-v2,97,0.3521001639381645,0.7152631578947368,197,27,145,59,0.02622654283554681,8,6,0.009939792867346295,0.4353392070545241,0.45587596676655817,0.44560758691054114,False,False
paraphrase-mpnet-base-v2,98,0.3495041323816064,0.6820224719101123,248,39,133,27,0.03986916170453897,9,6,0.009875906026135958,0.42215032178540346,0.37042258377164905,0.39628645277852625,False,False
paraphrase-mpnet-base-v2,100,0.4035618616725405,0.652,148,27,446,28,0.004119416048438252,10,7,0.005716187783961461,0.6967853460501194,0.29324241391067174,0.4950138799803956,False,False
paraphrase-mpnet-base-v2,101,0.34297246190122493,0.6935483870967742,14,24,120,88,0.005065239439512193,8,7,0.00499795568944427,0.3889668065989911,0.4000527919228358,0.39450979926091345,False,False
paraphrase-mpnet-base-v2,103,0.39140786678990097,0.6548076923076923,123,16,386,69,0.0026445336912512946,9,7,0.007619650933719144,0.6350381597866606,0.30046027957722465,0.4677492196819426,False,False
paraphrase-mpnet-base-v2,104,0.356481548243912,0.6712574850299401,84,37,198,89,0.0011540361713633155,10,7,0.009009518824583947,0.45759840293465515,0.34274852953486135,0.40017346623475825,False,False
paraphrase-mpnet-base-v2,109,0.3704648032373765,0.676865671641791,169,23,309,40,0.00387034548704427,9,7,0.007293882569557465,0.5286389668799463,0.35716575662431094,0.4429023617521286,False,False
paraphrase-mpnet-base-v2,112,0.31124530208772505,0.9,84,35,381,75,0.0029504153044393917,10,11,0.0012047659210757044,0.22778006384225513,0.9307875894988067,0.5792838266705309,False,False
paraphrase-mpnet-base-v2,113,0.38061888626855506,0.6713178294573643,65,15,360,15,0.003958267328246402,9,7,0.009115756373663506,0.5802257959279311,0.34290365977106263,0.46156472784949687,False,False
paraphrase-mpnet-base-v2,114,0.38236169155687655,0.6926315789473684,110,13,480,30,0.0035808527376261176,7,7,0.006242872745042031,0.5890799483114113,0.3976959104204423,0.4933879293659268,False,False
paraphrase-mpnet-base-v2,115,0.40441175836046095,0.676,24,11,468,45,0.0032025616203719917,6,7,0.006657783516380182,0.701103163327522,0.3549403341288784,0.5280217487282002,False,False
paraphrase-mpnet-base-v2,116,0.30929224157240054,0.6789473684210526,64,39,447,30,0.0005527673396166888,9,11,0.004037365558214314,0.21785773027308397,0.36251727169953507,0.2901875009863095,False,False
paraphrase-mpnet-base-v2,119,0.3255524654466605,0.6487804878048781,15,21,497,57,0.0376961359282196,5,7,0.006572209305213841,0.30046621266463003,0.28496586363749765,0.29271603815106384,False,False
all-MiniLM-L12-v2,1,0.32420471956383323,0.92,57,37,132,57,0.053014632797577996,4,39,0.004806256675793189,0.2936191210814656,0.9822025230139788,0.6379108220477222,True,True
all-MiniLM-L12-v2,3,0.2664102594269326,0.8268292682926829,234,25,100,62,0.061486745682668036,2,20,0.003023475221501893,0.0,0.7426841741993959,0.37134208709969796,False,False
all-MiniLM-L12-v2,6,0.28938164280611905,0.8166666666666667,79,30,457,12,0.09201147732827442,8,9,0.009894403179965532,0.11670387407106642,0.7165586998522557,0.4166312869616611,False,False
all-MiniLM-L12-v2,8,0.35724752748013,0.6792857142857143,201,31,429,24,0.08354283374370089,10,7,0.0047578551047002295,0.4614898857787244,0.36338707320637065,0.4124384794925475,False,False
all-MiniLM-L12-v2,12,0.374596017775463,0.6666666666666666,137,39,482,67,0.058332272978327396,10,2,0.009065414109953464,0.5496271996413324,0.33094669848846436,0.4402869490648984,False,False
all-MiniLM-L12-v2,16,0.3460904229391024,0.9,150,36,491,84,0.0661045373321968,10,9,0.003300503510456586,0.4048073037217128,0.9307875894988067,0.6677974466102597,False,False
all-MiniLM-L12-v2,28,0.36826242322373237,0.7407766990291262,152,37,499,34,0.013987524818429811,10,8,0.0016915871010561817,0.5174499899025371,0.5214648178246204,0.5194574038635787,False,False
all-MiniLM-L12-v2,29,0.3758929676466061,0.9,196,10,495,39,0.020700568791459244,6,8,0.0011372773881020563,0.5562162270385904,0.9307875894988067,0.7435019082686986,False,True
all-MiniLM-L12-v2,31,0.3572187000502901,0.7355140186915888,69,17,498,20,0.038762149910105764,10,7,0.003862249813851705,0.4613434308314408,0.5079357998413159,0.48463961533637834,False,False
all-MiniLM-L12-v2,37,0.34892558354200015,0.7283018867924528,94,17,500,30,0.07591024111670018,10,9,0.002198737160475855,0.41921106080112414,0.48939523573647925,0.4543031482688017,False,False
all-MiniLM-L12-v2,40,0.302335224680076,0.7208333333333333,107,30,499,26,0.047011215835933505,2,11,0.00767799014068869,0.182513284102386,0.4701954767587224,0.3263543804305542,False,False
all-MiniLM-L12-v2,45,0.3541064202406062,0.55,248,19,500,30,0.024332477486516783,10,3,0.007621143131311526,0.44553179663476583,0.031026252983293645,0.23827902480902974,False,False
all-MiniLM-L12-v2,49,0.31946569525419133,0.6879356568364611,143,30,144,46,0.059740640779929445,10,9,0.001733182594342777,0.26954297002330674,0.3856238842642059,0.3275834271437563,False,False
all-MiniLM-L12-v2,55,0.32544574130943266,0.7191011235955056,162,24,105,40,0.05847122531791328,5,4,0.007413327918274479,0.29992401108861766,0.465742404333485,0.38283320771105134,False,False
all-MiniLM-L12-v2,61,0.35868267001614595,0.7663265306122449,106,11,474,16,0.0003579142514717027,9,8,0.0012571872936577451,0.4687809875392299,0.5871469624331149,0.5279639749861724,False,False
all-MiniLM-L12-v2,65,0.3661501737973684,0.7027522935779816,139,28,465,38,0.005427559272116268,9,4,0.00481148267297116,0.5067189125881244,0.4237137039133929,0.46521630825075866,False,False
all-MiniLM-L12-v2,71,0.3145916780686233,0.7207843137254902,29,39,104,65,0.004494998559155262,8,36,0.003836389327884639,0.24478100081773757,0.47006945976481274,0.35742523029127515,False,False
all-MiniLM-L12-v2,73,0.3779923016580812,0.5523809523809524,170,24,160,11,0.004835706187075629,9,49,0.0073037308769342306,0.5668816888466186,0.037147078401766453,0.30201438362419253,False,True
all-MiniLM-L12-v2,76,0.32828080462159903,0.6596638655462185,235,39,57,14,0.004641872573477369,6,35,0.009507429912066077,0.3143272738919518,0.31294427078707376,0.3136357723395128,False,False
all-MiniLM-L12-v2,77,0.33712902309840787,0.673551637279597,20,18,126,42,0.004588881546152391,4,5,0.006216074243010517,0.3592797853635248,0.3486462138043509,0.35396299958393784,False,False
all-MiniLM-L12-v2,78,0.3416271937828825,0.6701030927835051,180,15,287,24,0.0045565517441399596,7,10,0.007421100338123291,0.38213230305676604,0.33978087950481695,0.3609565912807915,False,False
all-MiniLM-L12-v2,85,0.3880262500497067,0.55,18,25,252,19,0.004525643266114932,4,49,0.002169696490132558,0.6178581855687466,0.031026252983293645,0.3244422192760201,False,True
all-MiniLM-L12-v2,88,0.35622993752677484,0.5545454545454546,175,16,207,25,0.002170017910633593,9,26,0.0024723707576169702,0.45632011921255633,0.04271146514583268,0.2495157921791945,False,False
all-MiniLM-L12-v2,96,0.3491790206006664,0.685064935064935,88,30,122,31,0.0003440675754691647,10,18,0.00392445136666819,0.42049862307333474,0.37824398581302754,0.39937130444318114,False,False
all-MiniLM-L12-v2,97,0.4082723684950458,0.5379310344827586,237,12,127,10,0.0011903249428840358,3,45,0.0014670469483931312,0.7207166167946863,0.0,0.3603583083973432,False,True
all-MiniLM-L12-v2,100,0.31589081316917506,0.6909774436090226,170,18,115,79,0.00016282128505559215,4,12,0.002043114166341329,0.25138113005999574,0.39344354749813504,0.3224123387790654,False,False
all-MiniLM-L12-v2,109,0.32415630521226074,0.6610824742268041,216,12,121,14,0.004207641155812614,8,14,0.00859849097700363,0.29337315668759856,0.31659115433689156,0.30498215551224506,False,False
all-MiniLM-L12-v2,111,0.32323338968804227,0.6818918918918919,184,36,113,95,0.00403905083583317,10,12,0.0012640001664667683,0.2886843743300582,0.3700868956238885,0.3293856349769734,False,False
all-MiniLM-L12-v2,112,0.33701015319917066,0.682089552238806,210,36,196,84,0.0014583988147071627,8,13,0.0018493254141933285,0.358675878427559,0.37059503030364693,0.36463545436560296,False,False
all-MiniLM-L12-v2,115,0.33571096265508266,0.6941690962099125,56,36,120,10,0.0036398001246854446,10,15,0.0032022155694935296,0.3520754675098192,0.40164847781204904,0.37686197266093413,False,False
all-MiniLM-L12-v2,117,0.33716544679422983,0.6623529411764706,216,24,185,17,0.0031474683914318076,2,12,0.005580212952913118,0.359464832399667,0.3198572030244078,0.3396610177120374,False,False
all-MiniLM-L12-v2,118,0.3062652596306261,0.6469879518072289,39,22,258,13,0.0038450196978183533,2,12,0.0035046290106524654,0.20247944357972303,0.2803577076803634,0.2414185756300432,False,False
multi-qa-mpnet-base-cos-v1,0,0.4343201401907805,0.7008547008547008,127,31,494,28,0.0583411673483624,10,11,0.007313217715739823,0.8530497818301552,0.41883547372807484,0.635942627779115,False,False
multi-qa-mpnet-base-cos-v1,1,0.35202097892750045,0.7405555555555555,57,37,132,57,0.053014632797577996,4,39,0.004806256675793189,0.43493691532658096,0.5208963139750726,0.4779166146508268,False,False
multi-qa-mpnet-base-cos-v1,2,0.4075606920695931,0.6917355371900826,143,35,432,43,0.021340699876192595,7,8,0.00791546596288443,0.7171010140874228,0.395392414051559,0.5562467140694909,False,False
multi-qa-mpnet-base-cos-v1,3,0.3161344825805408,0.7529411764705882,234,25,100,62,0.061486745682668036,2,20,0.003023475221501893,0.2526190687522192,0.5527366077695994,0.4026778382609093,False,False
multi-qa-mpnet-base-cos-v1,4,0.36834145049732525,0.6658536585365854,182,18,493,86,0.011554263087938811,2,41,0.0018909922323204734,0.5178514802626657,0.3288566605406933,0.4233540704016795,False,False
multi-qa-mpnet-base-cos-v1,7,0.3710377875947153,0.7057142857142857,228,29,474,70,0.009618971418263036,2,33,0.001559420495066072,0.5315499580544762,0.43132823535141984,0.48143909670294804,False,False
multi-qa-mpnet-base-cos-v1,10,0.3781487054524436,0.6717391304347826,132,22,496,28,0.021797204726521593,4,7,0.008914302765018596,0.567676283078068,0.3439867178582545,0.45583150046816123,False,False
multi-qa-mpnet-base-cos-v1,11,0.4192083661855181,0.8285714285714286,105,24,497,13,0.02214899844042237,8,14,0.009229440444487477,0.7762758870503359,0.7471628269446202,0.7617193569974781,True,True
multi-qa-mpnet-base-cos-v1,12,0.4214961854923325,0.7262626262626263,29,22,495,11,0.07759936885367792,6,8,0.009989238327706419,0.7878989300283106,0.4841528135084221,0.6360258717683663,False,False
multi-qa-mpnet-base-cos-v1,13,0.41671525361388184,0.6574193548387097,59,26,366,17,0.09311075830180748,8,15,0.008647767847031636,0.7636098716518527,0.30717420234704096,0.5353920369994468,False,False
multi-qa-mpnet-base-cos-v1,14,0.3553906792042738,0.6940652818991098,209,29,117,53,0.0928110153219638,8,17,0.006756555554927881,0.4520563491136689,0.4013815975176567,0.4267189733156628,False,False
multi-qa-mpnet-base-cos-v1,15,0.42040634450478276,0.6882352941176471,40,25,369,44,0.08493156236954008,9,16,0.007173848574428013,0.7823620991257481,0.38639417580874813,0.5843781374672481,False,False
multi-qa-mpnet-base-cos-v1,16,0.4369097338568355,0.7054545454545454,54,25,486,12,0.040864741636501486,8,17,0.008720916299067995,0.8662059600241223,0.4306605089421318,0.6484332344831271,False,False
multi-qa-mpnet-base-cos-v1,17,0.3620547457214847,0.6958860759493671,11,33,137,24,0.03933018978835856,10,18,0.007271113428375153,0.4859124894595943,0.40606239776959696,0.44598744361459564,False,False
multi-qa-mpnet-base-cos-v1,18,0.4214118928915003,0.6679012345679012,34,19,354,29,0.07887039997704388,8,17,0.007269437876782707,0.7874706896863919,0.33412045981656147,0.5607955747514767,False,False
multi-qa-mpnet-base-cos-v1,19,0.4310522896125078,0.6870967741935484,37,26,476,11,0.09201538216110981,10,17,0.0066082977893351,0.8364477855082733,0.38346732949858664,0.60995755750343,False,False
multi-qa-mpnet-base-cos-v1,20,0.35498926803507314,0.6877551020408164,113,30,152,11,0.06735403786937946,9,17,0.0029067521147784704,0.45001701879699496,0.38515972362351003,0.4175883712102525,False,False
multi-qa-mpnet-base-cos-v1,23,0.4305749410086237,0.7970588235294118,28,28,492,12,0.09592161518690454,9,19,0.008293872653780449,0.834022662456861,0.6661519022883615,0.7500872823726112,False,True
multi-qa-mpnet-base-cos-v1,26,0.4024825560796569,0.9,58,18,478,30,0.06997464479584503,8,19,0.008625492414138555,0.691302039193197,0.9307875894988067,0.8110448143460018,True,True
multi-qa-mpnet-base-cos-v1,27,0.43088833920715874,0.7230769230769231,46,14,440,14,0.0480392201039007,9,14,0.006278553336696529,0.835614851455329,0.4759631776338218,0.6557890145445754,False,False
multi-qa-mpnet-base-cos-v1,28,0.43944663936012623,0.7494736842105263,29,14,427,11,0.00810309072005532,9,18,0.005862237189510062,0.8790944611430622,0.5438225635688263,0.7114585123559443,False,True
multi-qa-mpnet-base-cos-v1,30,0.36905816416359194,0.7456521739130435,39,26,484,12,0.05035699139814465,4,19,0.009721634049822053,0.5214926741808685,0.5339984286751953,0.5277455514280319,False,False
multi-qa-mpnet-base-cos-v1,31,0.43888735228283793,0.7221052631578947,93,12,482,27,0.052799869718990596,10,8,0.006017349277623271,0.8762530576646554,0.4734652861270119,0.6748591718958337,False,False
multi-qa-mpnet-base-cos-v1,32,0.4376142248581719,0.6533834586466165,40,11,443,47,0.08196071415621674,9,11,0.005825996160215674,0.8697850578845787,0.2967989356275105,0.5832919967560446,False,False
multi-qa-mpnet-base-cos-v1,34,0.4049663510149875,0.7220472440944882,59,18,423,20,0.017966882970141745,10,7,0.005964891431877526,0.7039207172486868,0.4733161338126288,0.5886184255306578,False,False
multi-qa-mpnet-base-cos-v1,35,0.4349398397939186,0.6920353982300885,30,14,497,23,0.07514615596354718,8,8,0.0058481865228733896,0.8561981052572958,0.39616328082334373,0.6261806930403198,False,False
multi-qa-mpnet-base-cos-v1,38,0.37790106689397446,0.6861538461538461,20,10,262,73,0.06763419334139358,9,10,0.0069550256083900875,0.5664181795208869,0.3810433003750424,0.47373073994796466,False,False
multi-qa-mpnet-base-cos-v1,39,0.35952057345095684,0.699047619047619,12,22,496,68,0.09345820046879666,7,8,0.007834129466481645,0.47303787426327837,0.4141899241796956,0.443613899221487,False,False
multi-qa-mpnet-base-cos-v1,40,0.3627710179241204,0.7904761904761904,11,26,445,34,0.014465892509439995,10,15,0.009416794744370852,0.48955144056485245,0.649229620249054,0.5693905304069532,False,False
multi-qa-mpnet-base-cos-v1,42,0.34271561903466624,0.7019230769230769,76,13,455,78,0.024038173396322186,7,13,0.007214412905093417,0.38766194145177146,0.4215819979543127,0.4046219697030421,False,False
multi-qa-mpnet-base-cos-v1,46,0.4150437874983595,0.6761061946902654,10,10,410,12,0.0810071899080258,9,9,0.007821038123239255,0.7551181509818337,0.3552133337758614,0.5551657423788475,False,False
multi-qa-mpnet-base-cos-v1,47,0.3000130710553934,0.85,206,21,487,84,0.033631095102288316,7,12,0.006633139954173255,0.17071580896929572,0.8022502557108759,0.48648303234008583,False,False
paraphrase-distilroberta-base-v1,2,0.4249213718876605,0.7191919191919192,143,35,432,43,0.021340699876192595,7,8,0.00791546596288443,0.8053002556320821,0.46597581681113875,0.6356380362216104,False,False
paraphrase-distilroberta-base-v1,3,0.29372867933549796,0.8188888888888889,234,25,100,62,0.061486745682668036,2,20,0.003023475221501893,0.1387885694214832,0.7222714702428306,0.4305300198321569,False,False
paraphrase-distilroberta-base-v1,4,0.2999238051976547,0.8333333333333334,182,18,493,86,0.011554263087938811,2,41,0.0018909922323204734,0.17026230248044327,0.7594044777815658,0.46483339013100455,False,False
paraphrase-distilroberta-base-v1,14,0.40608914618893205,0.7386138613861386,168,31,427,38,0.011094742210345156,5,9,0.007934501670524351,0.7096249686829448,0.5159047101437042,0.6127648394133245,False,False
paraphrase-distilroberta-base-v1,18,0.3651257007765702,0.6478260869565218,103,32,431,26,0.0014492536570315242,4,5,0.00795736528015388,0.5015141772687546,0.2825123408292445,0.39201325904899953,False,False
paraphrase-distilroberta-base-v1,19,0.4309488755471799,0.6819047619047619,128,34,455,82,0.018581500299880673,7,7,0.007771141129174402,0.835922400429892,0.37011998116669087,0.6030211907982914,False,False
paraphrase-distilroberta-base-v1,20,0.3389676904694701,0.7466666666666667,57,33,481,23,0.009300802110042852,2,9,0.0077632492312514085,0.3686209557139988,0.5366064325491533,0.45261369413157604,False,False
paraphrase-distilroberta-base-v1,25,0.431765765755603,0.6849557522123894,143,34,445,41,0.016270885874968558,9,5,0.00790114013814467,0.8400725315055881,0.3779633043577959,0.609017917931692,False,False
paraphrase-distilroberta-base-v1,26,0.4151537083473925,0.691970802919708,97,14,428,22,0.018411177563039963,7,7,0.0038561844715869252,0.7556765931405658,0.39599722264391346,0.5758369078922396,False,False
paraphrase-distilroberta-base-v1,28,0.3868965620114309,0.6694444444444444,20,13,461,16,0.014939315355512264,9,7,0.007754732272585648,0.6121189156091507,0.3380876614766828,0.4751032885429167,False,False
paraphrase-distilroberta-base-v1,29,0.4354006369165255,0.7255555555555555,131,34,474,82,0.02000975327600743,9,7,0.00790738071195782,0.8585391401214713,0.48233511383869354,0.6704371269800824,False,True
paraphrase-distilroberta-base-v1,30,0.43136612804666613,0.7184466019417476,128,32,445,39,0.07101747833330394,8,7,0.003284972036638525,0.8380422110809125,0.46405979496787464,0.6510510030243936,False,False
paraphrase-distilroberta-base-v1,33,0.41909692140759064,0.734313725490196,84,32,450,26,0.04484210117454085,9,8,0.007839099413980222,0.775709702719404,0.5048501500838996,0.6402799264016518,False,False
paraphrase-distilroberta-base-v1,35,0.4264186905501655,0.7333333333333333,243,34,486,94,0.021090028633521232,9,7,0.007806919083263272,0.8129072371424586,0.502329810205705,0.6576185236740818,False,False
paraphrase-distilroberta-base-v1,36,0.3682181361257263,0.675,127,33,481,25,0.02076149132125972,4,7,0.004375739168401591,0.5172249936181008,0.35236958745311964,0.4347972905356102,False,False
paraphrase-distilroberta-base-v1,38,0.4145519079477581,0.7148148148148148,237,34,475,38,0.01608429884976447,8,7,0.0037501384736162925,0.7526192048720608,0.45472339028424935,0.6036712975781551,False,False
paraphrase-distilroberta-base-v1,39,0.3693930927316841,0.9,141,35,489,42,0.033180054704413625,10,8,0.005779882194969661,0.5231942461231507,0.9307875894988067,0.7269909178109787,False,False
paraphrase-distilroberta-base-v1,40,0.4209811508432566,0.714406779661017,174,26,452,42,0.04624574543454599,9,7,0.004746208884236826,0.7852823466978331,0.45367443526903095,0.619478390983432,False,False
paraphrase-distilroberta-base-v1,41,0.4196596174974103,0.7057851239669422,130,37,455,33,0.04190651053446404,8,7,0.00770711541026508,0.7785684253536749,0.4315103425539528,0.6050393839538138,False,False
