composite_key,topic_id,name,keywords,taxonomy_main_id,taxonomy_main_name
B1_attraction_chemistry,227,Voyeuristic Secretary,"emersona, feels, scuffle, replies, destructive, cra, voyeur, involves, announces, filing",2.1,Attraction & Sexual Tension
B1_attraction_chemistry,229,Fascinated Gaze,"widens, narrowed, gaze, widened, widen, tilts, narrows, brows, tilted, furrowed",2.1,Attraction & Sexual Tension
B1_attraction_chemistry,235,Imperious Gaze,"henrya, dennya, turns, smuckersa, gaze, spins, narrows, everybody, defray, gets",2.1,Attraction & Sexual Tension
B1_attraction_chemistry,255,Hot And Heavy Flirting,"hotter, smoking, hots, hottest, really, extremely, totally, scorpion, empathetic, ceaseless",2.1,Attraction & Sexual Tension
B1_attraction_chemistry,257,Scent-induced Arousal,"smell, scent, perfume, smells, smelled, air, scents, smelling, distillery, lavender",2.1,Attraction & Sexual Tension
B1_attraction_chemistry,271,Physical Labor And Attraction,"sama, couldn, didn, sculpted, conquest, labor, charmed, insisting, advantage, defenses",2.1,Attraction & Sexual Tension
B1_attraction_chemistry,280,Growling During Intimacy,"growls, groans, growl, rumbles, growling, rips, low, snarls, grunts, rumble",2.1,Attraction & Sexual Tension
B1_attraction_chemistry,285,Size Comparison Conversation,"bigger, huge, size, solid, heavy, geometry, massive, inch, large, larger",2.2,Kissing & Non-Explicit Affection
B1_attraction_chemistry,317,Scent-induced Intimacy,"scent, smelled, smell, perfume, nostrils, shampoo, smells, coconut, lavender, flowers",2.2,Kissing & Non-Explicit Affection
B1_attraction_chemistry,347,Expressive Yes,"yessss, , , , , , , , , ",2.2,Kissing & Non-Explicit Affection
B2_emotional_intimacy,48,Deep Breaths During Emotional Moment,"breath, lungs, deep, exhale, inhale, breathing, exhaled, breaths, heavily, air",3.1,Positive Emotions & Security
B2_emotional_intimacy,156,Trust Assurance Conversation,"trust, trusted, trustworthy, issues, forgave, able, instincts, circle, gut, cana",4.2,"Bonding, Everyday Intimacy & Growth"
B2_emotional_intimacy,275,Back-to-back Support,"othera, lives, compatible, live, better, work, connected, synapses, physically, pasts",4.2,"Bonding, Everyday Intimacy & Growth"
B2_emotional_intimacy,330,Smiling And Laughing Together,"marleya, confidante, splutters, goofily, pleads, kicking, suma, ra, stylist, glance",4.2,"Bonding, Everyday Intimacy & Growth"
B2_emotional_intimacy,363,Goofball's Webcam Connection,"garretta, fulfilled, owners, sees, accepting, shouldna, letting, prophecy, webcam, salaciousa",4.2,"Bonding, Everyday Intimacy & Growth"
C_explicit_eroticism,1,Intimate Breast And Nipple Kissing,"kissed, hips, tongue, breasts, mouth, body, arms, slid, neck, thighs",2.3,Explicit Sexual Acts
C_explicit_eroticism,2,Clitoral Stimulation During Foreplay,"clit, pussy, tongue, hips, legs, mouth, neck, pull, lip, lower",2.3,Explicit Sexual Acts
C_explicit_eroticism,15,Clitoral Stimulation During Foreplay,"clit, hips, pussy, legs, thighs, erection, waist, thigh, panties, pulls",2.3,Explicit Sexual Acts
C_explicit_eroticism,19,Adrenaline-fueled game,"stomach, chest, blood, veins, temples, spine, belly, adrenaline, heartbeat, beating",2.3,Explicit Sexual Acts
C_explicit_eroticism,42,Exploring Virginity,"sexual, intimate, virginity, intimacy, having, sexually, blowing, sexa, sexuality, just",2.3,Explicit Sexual Acts
C_explicit_eroticism,55,Dominatrix Session,"wants, want, knows, needs, need, hera, needed, teach, ita, likes",2.3,Explicit Sexual Acts
C_explicit_eroticism,102,Hair Tugging During game,"hair, strands, brushes, grip, strand, handful, hand, runs, threads, gently",2.3,Explicit Sexual Acts
C_explicit_eroticism,103,Nude Bed Scene,"nude, nudes, seen, completely, nakedness, standing, stark, gloriously, wet, half",2.3,Explicit Sexual Acts
C_explicit_eroticism,133,Breast And Nipple Play,"nipple, nipples, breasts, breast, cups, pinches, sucking, thumbs, tongue, thumb",2.3,Explicit Sexual Acts
C_explicit_eroticism,162,Breast And Nipple Foreplay,"skirt, dress, breasts, nipples, curves, fabric, wore, panties, lace, blouse",2.3,Explicit Sexual Acts
C_explicit_eroticism,167,Intense Orgasmic Waves,"orgasms, climax, rips, orgasmic, orgasmed, body, intense, wave, explodes, orgasma",2.3,Explicit Sexual Acts
C_explicit_eroticism,205,Rule-breaking Encounter,"fuckup, rule, horny, rules, hint, rest, half, job, world, maybe",2.3,Explicit Sexual Acts
C_explicit_eroticism,208,Desperate Harem Offer,"wants, wanted, want, badly, astonishingly, desperate, bluest, harem, alwaysa, empowering",2.3,Explicit Sexual Acts
C_explicit_eroticism,290,Breast And Nipple Play,"nipples, nipple, hardened, harden, breasts, pebble, fabric, tighten, puckered, firm",2.3,Explicit Sexual Acts
C_explicit_eroticism,301,Erotic Lingerie Show,"erotic, sexytimes, dangerously, alluring, unnatural, attractive, desired, seductive, sensual, lingerie",2.3,Explicit Sexual Acts
C_explicit_eroticism,308,Clitoral Stimulation During game,"hea, confidence, preferred, redesigned, jugular, react, truest, amped, advertised, correct",2.3,Explicit Sexual Acts
C_explicit_eroticism,318,Mutual Clitoral Stimulation,"feels, felt, gooda, inconveniently, sign, overwhelmingly, marvelous, bloodthirsty, jury, otherworldly",2.3,Explicit Sexual Acts
C_explicit_eroticism,328,Intense Moaning During Foreplay,"moan, groaned, scream, screamed, whimper, moans, whimpered, moaned, inwardly, quivering",2.3,Explicit Sexual Acts
C_explicit_eroticism,338,Freshman Roommate Awakening,"freshman, comes, roommate, ey, breasta, earful, doesna, thankfully, offer, shrine",2.3,Explicit Sexual Acts
D_power_wealth_luxury,6,Wine-drinking At Table,"wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, drinking, poured",5.2,Friends & Social Circles
D_power_wealth_luxury,16,Intergenerational Family Bonding,"fathera, parents, died, dada, older, fathers, children, kids, grandson, hea",5.1,Family & Kinship
D_power_wealth_luxury,44,Mother-player Relationship Struggles,"mothera, moma, stepmother, died, mamaa, moms, motherhood, telling, tell, traumatizing",5.1,Family & Kinship
D_power_wealth_luxury,49,Hiring A Babysitter,"babysitter, babya, born, babysit, healthy, having, want, infant, raise, youa",5.2,Friends & Social Circles
D_power_wealth_luxury,51,Emotional Support At Clinic,"maddiea, sama, karaa, clinic, answered, didn, tremulous, couldn, friend, sighed",5.2,Friends & Social Circles
D_power_wealth_luxury,79,Grandmother's Tears,"daisya, rule, replies, grandmother, whispers, says, remya, needs, cries, freezes",5.1,Family & Kinship
D_power_wealth_luxury,81,Family Discussion Around Table,"parents, children, kids, families, familya, aunts, uncles, parentsa, theya, grow",5.1,Family & Kinship
D_power_wealth_luxury,93,Family Apologies And Reconciliation,"parents, apologies, died, sister, ex, dada, brogue, pleasure, woozy, daughter",5.1,Family & Kinship
D_power_wealth_luxury,98,Parental Warning About Engagement,"dantea, engagement, pudding, glinted, granite, excused, growled, parents, assault, warning",5.1,Family & Kinship
D_power_wealth_luxury,101,Sister's Tragic Letters,"gretchena, bronta, library, letter, letters, kleenex, headed, writer, gave, racked",5.1,Family & Kinship
D_power_wealth_luxury,104,Sister's Confusing Admissions,"kelseya, asks, says, pigeon, uh, helpful, sustainable, excited, cork, answers",5.1,Family & Kinship
D_power_wealth_luxury,113,Sister's Drug Struggle,"daphnea, audreya, drugs, curious, sister, shrugged, volunteer, continued, suspected, labela",5.1,Family & Kinship
D_power_wealth_luxury,124,Engagement Surprise,"viviana, shallowed, ante, returned, engagement, stunt, instances, cheeks, ex, flushed",5.1,Family & Kinship
D_power_wealth_luxury,130,Sister's Confusing Admissions,"says, told, argues, replied, offered, asked, promised, prospect, unconvinced, panted",5.1,Family & Kinship
D_power_wealth_luxury,134,Sister's Confusing Admissions,"cadea, audreya, archera, necks, daphnea, glanced, told, curious, breakthroughs, campus",5.1,Family & Kinship
D_power_wealth_luxury,137,Generous Offspring Circumstances,"knows, understood, surely, means, did, goes, understanding, understanda, offspring, reynarda",5.1,Family & Kinship
D_power_wealth_luxury,147,Good Luck Wishes,"luck, luckiest, perfection, perfectly, fortunate, fit, solution, unlucky, today, miracle",5.2,Friends & Social Circles
D_power_wealth_luxury,148,Holiday Celebration,"merry, holiday, parties, holidays, yeara, partya, december, partying, presents, christmases",5.3,"Community, Norms & Social Events"
D_power_wealth_luxury,154,Unexpected Pregnancy,"pregnancy, test, unplanned, weeks, months, fianca, birth, conception, injection, childbirth",5.1,Family & Kinship
D_power_wealth_luxury,173,Friendship Bonding,"friendship, friend, buddies, benefits, friendships, acquaintances, wea, friendsa, slowlya, school",5.2,Friends & Social Circles
D_power_wealth_luxury,193,Birthday Surprise For Friend,"patricka, yells, dopey, friend, nervously, announces, nudging, presents, birthday, wasted",5.2,Friends & Social Circles
D_power_wealth_luxury,200,Siblings' Confusing Disclosure,"sister, sistera, partnera, niece, daughter, older, disclosure, mask, members, sibling",5.1,Family & Kinship
D_power_wealth_luxury,209,Clan Heir's Obsession,"fitzpatricka, brennana, eldest, clan, ireland, unwarranted, obsession, wing, adoptive, squash",5.1,Family & Kinship
D_power_wealth_luxury,234,Witch's Daughter Murder Plot,"winniea, witch, laughed, asked, murdering, flared, chided, sitter, daughter, chimed",5.1,Family & Kinship
D_power_wealth_luxury,242,Awkward Handshake Introduction,"davea, elliea, says, asks, clasps, sadiea, class, gives, handshake, lottiea",5.2,Friends & Social Circles
D_power_wealth_luxury,243,Fearless Ladies Conversation,"charlottea, answer, answered, reply, epitome, ladies, stammer, acknowledges, deteriorated, helloa",5.2,Friends & Social Circles
D_power_wealth_luxury,244,Age Gap Roleplay,"cordless, drill, didn, accomplished, reassuring, results, oldest, strides, homebody, maybach",5.1,Family & Kinship
D_power_wealth_luxury,247,Statue Of Liberty Visit,"statue, earnestly, ora, gently, sister, piranhas, outpouring, slept, cornbread, lavishing",5.3,"Community, Norms & Social Events"
D_power_wealth_luxury,251,Press Conference Speech,"georgiaa, thosea, press, conference, yelped, scolded, giggled, cursing, laughed, called",5.3,"Community, Norms & Social Events"
D_power_wealth_luxury,264,Schoolyard Argument,"lilliea, rubya, daughtera, holds, daughter, squeeze, starts, dumpling, eleanora, school",5.1,Family & Kinship
D_power_wealth_luxury,274,Exclusive Club Nights,"clubs, members, exclusive, cluba, stag, wilder, restaurants, member, strip, whores",5.3,"Community, Norms & Social Events"
D_power_wealth_luxury,329,Parenting And Care Routine,"remya, dependable, coos, wails, parenting, competent, guardian, having, raise, formula",5.1,Family & Kinship
D_power_wealth_luxury,336,Polite Conversations,"alternatives, automatically, beg, thanks, answer, hear, looking, make, say, way",5.2,Friends & Social Circles
D_power_wealth_luxury,362,Adorable Nephew And Schnoodle,"adorable, cutest, nephew, cutes, absolutely, schnoodle, easter, whitea, beinga, incredibly",5.2,Friends & Social Circles
E_coercion_brutality_danger,69,Painful Emotional Burden,"hurts, guilt, painful, hurting, experiencing, painkillers, guilty, injury, agony, inflict",3.2,Negative Emotions & Distress
E_coercion_brutality_danger,82,Frightened Admissions,"scared, afraid, sad, terrifying, scary, scare, scares, frightening, frightened, fears",3.2,Negative Emotions & Distress
E_coercion_brutality_danger,127,Emotional Panic Attacks,"panic, emotions, emotional, attack, emotionally, attacks, hysteria, unease, excited, panicking",7.2,"Violence, Threats & Coercion"
E_coercion_brutality_danger,160,Emotional Panic Attack,"gasped, tears, panic, cheeks, stomach, tear, hips, winced, wiped, belly",3.2,Negative Emotions & Distress
E_coercion_brutality_danger,302,Gun Threat During Argument,"gun, weapon, bullets, pistol, guns, barrel, rifle, gunshot, aimed, shotgun",7.2,"Violence, Threats & Coercion"
F1_sadness_grief,82,Frightened Admissions,"scared, afraid, sad, terrifying, scary, scare, scares, frightening, frightened, fears",3.2,Negative Emotions & Distress
F1_sadness_grief,160,Emotional Panic Attack,"gasped, tears, panic, cheeks, stomach, tear, hips, winced, wiped, belly",3.2,Negative Emotions & Distress
F1_sadness_grief,239,Tearful Emotional Moment,"tears, prick, wipe, blink, cheeks, tear, leak, sting, stung, welled",3.2,Negative Emotions & Distress
F1_sadness_grief,270,Tearful Sobbing,"cried, tears, sobbing, sobbed, bawling, weep, stop, whatsoever, feminine, start",3.2,Negative Emotions & Distress
F2_anger_frustration,99,Desire And Regret Conversation,"loved, loves, adored, utterly, madly, vacuum, told, despite, desperately, falling",3.2,Negative Emotions & Distress
F2_anger_frustration,325,Owl Observation,"owl, leta, herea, repeats, elf, alternatives, feed, presentable, watercolor, hopelessness",3.2,Negative Emotions & Distress
F3_anxiety_worry,279,Pilot's Mileage Concerns,"mile, dishing, pilot, london, precautions, losing, wolves, trek, booking, competitors",3.2,Negative Emotions & Distress
F3_anxiety_worry,346,Anxious Voice Hearing,"clairea, admirable, passionate, unenthusiastically, shortcuts, abysmally, verb, anxiousness, horrors, nonnegotiable",3.2,Negative Emotions & Distress
G_courtship_rituals_gifts,11,Wine Tasting At Dinner,"wine, kitchen, plate, sip, waitress, bottle, cup, mug, dinner, food",8.2,Public & Leisure Spaces
G_courtship_rituals_gifts,148,Holiday Celebration,"merry, holiday, parties, holidays, yeara, partya, december, partying, presents, christmases",5.3,"Community, Norms & Social Events"
G_courtship_rituals_gifts,274,Exclusive Club Nights,"clubs, members, exclusive, cluba, stag, wilder, restaurants, member, strip, whores",5.3,"Community, Norms & Social Events"
L_vices_addictions,6,Wine-drinking At Table,"wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, drinking, poured",5.2,Friends & Social Circles
L_vices_addictions,11,Wine Tasting At Dinner,"wine, kitchen, plate, sip, waitress, bottle, cup, mug, dinner, food",8.2,Public & Leisure Spaces
L_vices_addictions,75,Bedroom Encounter,"bed, bedroom, couch, sheets, sofa, covers, pillows, mattress, flop, edge",2.2,Kissing & Non-Explicit Affection
L_vices_addictions,113,Sister's Drug Struggle,"daphnea, audreya, drugs, curious, sister, shrugged, volunteer, continued, suspected, labela",5.1,Family & Kinship
L_vices_addictions,146,Bedtime Routine,"bed, mattress, bedroom, sheets, covers, climb, lay, edge, blankets, pillow",8.1,Domestic Spaces & Routines
L_vices_addictions,157,Unexpected Barroom Moment,"trinitya, didn, couldn, inquired, muttered, segue, exclaimed, wordless, debated, sudden",4.2,"Bonding, Everyday Intimacy & Growth"
L_vices_addictions,171,Bedroom Intimacy,"bed, mattress, bedroom, edge, sits, carries, covers, pushes, pillow, crawls",2.2,Kissing & Non-Explicit Affection
L_vices_addictions,203,Incessant Complaints About Broccoli,"bronta, sharona, revulsion, guests, creature, evacuated, register, doubted, funa, minibar",4.4,"Conflict, Distance & Breakup Threats"
L_vices_addictions,255,Hot And Heavy Flirting,"hotter, smoking, hots, hottest, really, extremely, totally, scorpion, empathetic, ceaseless",2.1,Attraction & Sexual Tension
L_vices_addictions,284,Dog Whining,"whines, maxa, answered, bounds, wriggles, perplexed, barks, outmaneuvered, rigidly, extremes",8.1,Domestic Spaces & Routines
L_vices_addictions,294,Embarrassing Admissions,"embarrassing, embarrassed, humiliating, shame, humiliated, embarrassment, ashamed, pity, embarrassinga, spare",4.4,"Conflict, Distance & Breakup Threats"
L_vices_addictions,302,Gun Threat During Argument,"gun, weapon, bullets, pistol, guns, barrel, rifle, gunshot, aimed, shotgun",7.2,"Violence, Threats & Coercion"
L_vices_addictions,304,Local Honey Accident,"jar, barista, trance, suggests, georgiaa, taffy, saltwater, supplement, local, mileage",4.3,"Secrets, Misunderstandings & Hidden Information"
L_vices_addictions,332,Keeping Secrets,"secrets, confidential, secrecy, keeping, secretive, discreet, kept, identity, sneaking, spilling",4.3,"Secrets, Misunderstandings & Hidden Information"
L_vices_addictions,342,Mistaken Accusations,"wrong, somethinga, terribly, wrongs, feels, harbinger, critics, uncharacteristic, peculiar, event",4.4,"Conflict, Distance & Breakup Threats"
L_vices_addictions,358,Victorious Sports Celebration,"merinaa, earful, fizzled, victorious, barreled, tabloids, partly, barked, attained, achel",4.2,"Bonding, Everyday Intimacy & Growth"
M_health_recovery_growth,90,Medical Appointment At Hospital,"hospital, surgeon, surgery, doctors, trauma, doctora, medical, appointment, er, clinic",6.5,"Law, Medicine, Education & Formal Institutions"
M_health_recovery_growth,119,Whispered Secrets Between Lovers,"elliota, snaps, glares, replies, daniela, epitome, goes, gives, billya, takes",4.2,"Bonding, Everyday Intimacy & Growth"
M_health_recovery_growth,185,Thrilling Experiences,"awesome, wonderful, extraordinary, glorious, exciting, stunning, spectacular, thrilling, satisfying, ita",4.2,"Bonding, Everyday Intimacy & Growth"
M_health_recovery_growth,204,Forgetting And Reminding,"forget, forgot, forgotten, forgetting, completely, everybody, silliness, friendliest, requisite, defcon",4.2,"Bonding, Everyday Intimacy & Growth"
M_health_recovery_growth,228,Homecoming Conversations,"home, edit, literally, heading, homesick, likea, sense, want, descriptions, schooled",4.2,"Bonding, Everyday Intimacy & Growth"
M_health_recovery_growth,250,Protective Conversations By Firelight,"loved, loves, adored, clearly, humbled, protector, cared, soul, madly, conversations",4.2,"Bonding, Everyday Intimacy & Growth"
M_health_recovery_growth,278,Medical Emergency Response,"gracea, asked, paged, liked, avoid, east, ways, preface, enlisted, restart",6.5,"Law, Medicine, Education & Formal Institutions"
M_health_recovery_growth,363,Goofball's Webcam Connection,"garretta, fulfilled, owners, sees, accepting, shouldna, letting, prophecy, webcam, salaciousa",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,3,Dinner Invitation,"dinner, eat, food, lunch, breakfast, bakery, chicken, sandwich, meal, dessert",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,6,Wine-drinking At Table,"wine, sip, bottle, drunk, whiskey, waiter, scotch, alcohol, drinking, poured",5.2,Friends & Social Circles
H_domestic_nesting,10,Knocking On Door,"door, doors, opens, opened, knock, hallway, stairs, elevators, floor, doorbell",8.1,Domestic Spaces & Routines
H_domestic_nesting,14,Playful Smiling Interactions,"smile, smiles, grin, smiled, laugh, grinned, grins, laughed, laughs, smirked",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,23,Board Game Around Table,"reesea, merinaa, gwynetha, taga, board, hadna, gave, told, cadea, wasna",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,24,Phone Notifications During Night,"rings, buzzes, pocket, rang, screen, cellphone, nightstand, ringing, message, purse",8.1,Domestic Spaces & Routines
H_domestic_nesting,26,Nighttime Fun Planning,"tonight, night, evening, nights, stand, saturday, happened, tonighta, nighttime, nighta",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,27,Exiting Through Doorways,"door, doors, opened, car, stairs, shut, stepped, purse, headed, walked",8.1,Domestic Spaces & Routines
H_domestic_nesting,31,Clothing Shopping Together,"wea, wear, clothes, outfit, wearing, going, wardrobe, worn, clothing, doing",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,34,Archery Hunting,"huntera, cards, california, glanced, archery, turned, chips, shoulder, gritted, threw",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,35,Silent Ride Together,"silent, fell, remained, beat, stays, descends, awkward, stretched, stretches, moment",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,43,Ready For Action,"ia, going, working, ready, doing, supposed, aware, prepared, oversee, trying",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,49,Hiring A Babysitter,"babysitter, babya, born, babysit, healthy, having, want, infant, raise, youa",5.2,Friends & Social Circles
H_domestic_nesting,51,Emotional Support At Clinic,"maddiea, sama, karaa, clinic, answered, didn, tremulous, couldn, friend, sighed",5.2,Friends & Social Circles
H_domestic_nesting,53,Dress Shopping Together,"dress, dresses, panties, skirt, lace, heels, gown, wearing, wear, stilettos",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,57,Shower Hygiene,"shower, bathroom, bath, tub, toilet, bathtub, showers, restroom, showering, showered",8.1,Domestic Spaces & Routines
H_domestic_nesting,70,Kitten Rescue And Bonding,"kittens, delivery, cata, purr, claws, rescued, hairless, arrogantly, cheshire, lap",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,71,Phone Interruption,"pocket, dialed, cellphone, rang, screen, message, hangs, pulls, ringing, buzzed",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,92,Luxury Hotel Suite,"furniture, fireplace, ceiling, windows, chairs, floors, wood, walls, floor, ceilings",8.1,Domestic Spaces & Routines
H_domestic_nesting,96,Whispered Love Confessions,"whispers, whispered, whisper, softly, breaking, ear, plea, murmured, soft, someday",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,100,Gifting White Roses,"roses, flowers, bouquet, florist, petals, yellow, lilies, vase, daisies, dozen",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,105,Hurried Conversations,"hurry, going, live, trippy, goes, pro, prepared, bring, trade, location",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,106,Nighttime Conversations,"wasa, thata, likea, sa, wella, uha, meana, alsoa, thisa, oha",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,108,Epic Love Confessions,"loved, fall, falling, believe, consuming, isna, true, fickle, kind, loves",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,110,Intense Listening Conversation,"listen, asked, listening, demanded, replied, heard, whata, downplay, reply, everythinga",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,115,Golfing Couple's Weekend,"landona, asked, glanced, golf, sighed, years, hadna, justa, talk, winced",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,116,Important Conversation,"important, condition, just, plenty, second, ways, grated, dependent, thing, morea",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,119,Whispered Secrets Between Lovers,"elliota, snaps, glares, replies, daniela, epitome, goes, gives, billya, takes",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,120,Repeated Affirmations,"aye, string, parts, fianca, yesterday, unable, sounds, word, having, theya",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,121,Convenient Travel Options,"better, easier, vossameera, possibly, probably, smoother, suppose, sakes, option, ideal",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,128,Easy Conversations,"easy, simple, straightforward, peasy, natural, surprisingly, ita, easiest, comparison, target",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,136,Excited Diversion,"fun, excited, excitement, entertaining, having, sounds, uncomplicated, goad, diversion, funa",4.2,"Bonding, Everyday Intimacy & Growth"
H_domestic_nesting,140,Silent Staring Conversation,"jamesona, milesa, proves, stammers, stares, rolls, sits, imagine, transferring, laughs",4.2,"Bonding, Everyday Intimacy & Growth"
