
Topic,Name,Themes,LikelyGroup
211,211_hugged_hugging_cuddle_wrapped,,medium
212,212_fireplace_chimney_hearth_chimneys,,medium
213,213_days_since_elapsed_summoned,,medium
191,191_plague_plagues_infected_diseases,,medium
189,189_doubt_doubted_doubtful_doubtfully,,medium
165,165_floor_floors_flooring_floorboard,,medium
176,176_touch_touching_touched_toucher,,medium
166,166_sick_sickness_illness_sicknesses,,medium
167,167_place_places_location_somewhere,,medium
168,168_thumb_thumbs_forefinger_fingertip,,medium
169,169_transylvanian_transylvania_carpathian_romania,,medium
117,117_plan_planned_plans_planning,,medium
171,171_hide_hides_hiding_hid,,medium
172,172_sit_sits_sitting_seated,,medium
173,173_idea_ideas_think_thinking,,medium
174,174_pride_bragged_arrogance_bragging,,medium
175,175_loved_loves_adored_adore,,medium
177,177_manners_politeness_mannered_courteous,,medium
188,188_poison_poisons_poisoned_poisoning,,medium
178,178_ears_ear_eardrum_earpieces,,medium
179,179_guitar_guitars_guitarist_musicians,,medium
180,180_shiver_shivered_shivers_shivering,,medium
182,182_steal_steals_stealing_thieves,,medium
181,181_shoes_shoe_shoelace_footwear,,medium
183,183_fever_fevering_fevered_feverish,,medium
184,184_waiting_waits_awaiting_waitin,,medium
185,185_worse_worsen_worsens_worst,,medium
186,186_refuses_refusing_refusal_refused,,medium
187,187_romantic_romantical_romantically_romance,,medium
118,118_pain_pains_discomfort_painful,,medium
107,107_dreams_dreaming_dreamed_dreamt,,medium
116,116_heartbeat_heartbeats_pulse_ventricles,,medium
67,67_seat_seated_seats_sit,,medium
39,39_town_townsfolk_towns_village,Towns or Villages and Neighbors,medium
41,41_tree_trees_grove_forest,Forests and Woodlands,medium
47,47_flames_flame_blazes_blazing,Igniting and Burning,medium
49,49_carriage_carriages_wagon_cart,Roads and Carriages,medium
50,50_game_games_played_play,Play and Competition,medium
51,51_whispered_whispers_whisper_murmured,Secrets and Soft Communication,medium
52,52_cake_cakes_desserts_baking,Baking and Serving Desserts,medium
53,53_phone_phones_cellphone_smartphone,Digital Communication,medium
54,54_table_tables_tablecloth_tableau,Setting and Arranging Tables,medium
55,55_stomach_stomachs_tummy_gut,,medium
56,56_dancing_dancefloor_dances_danced,Dancing and Moving,medium
57,57_shook_shaken_shaking_trembled,Shaking and Trembling,medium
58,58_name_surname_naming_names,Naming and Introducing,medium
59,59_leg_legs_knees_knee,,medium
60,60_months_month_weeks_monthly,Passage of Time,medium
61,61_leave_leaving_depart_departure,Parting or Farewell Dynamics,medium
115,115_road_roads_street_streets,,medium
64,64_scent_smelling_scents_scenting,Aromas and Sensory Experience,medium
65,65_minutes_minute_hour_seconds,Time and Duration,medium
38,38_sort_sorts_sorting_sorted,Sorting and Categorizing,medium
36,36_memory_remembering_memories_remembers,Memory and Nostalgia,medium
35,35_hurry_hurried_hastened_hastening,Rushing and Hastening,medium
15,15_mouth_mouths_lips_tongue,"Speaking, Biting & Licking",medium
1,1_dress_dresses_gowns_attire,Fashion & Identity,medium
3,3_door_doors_doorframe_opened,Opening & Closing Doors,medium
8,8_night_tonight_nights_nighttime,Late Night Interactions,medium
9,9_book_books_bookroom_librarian,Reading & Studying,medium
10,10_breath_breaths_breathed_breathes,Breathing & Gasping,medium
11,11_stared_gazes_gazed_gaze,Staring & Gazing,medium
13,13_women_females_feminist_womanhood,Gender and Sexuality,medium
14,14_money_financial_cash_pays,Wealth and Economics,medium
17,17_conversation_conversational_conversations_conversationist,Conversation and Discussion,medium
33,33_letter_wrote_letters_received,Postal or Digital Messaging,medium
18,18_nodded_nods_nod_agreed,Acknowledgment and Agreement,medium
20,20_light_lightness_lights_illuminated,Illuminated Spaces,medium
23,23_ship_boat_sailed_vessel,Sailing and Voyaging,medium
25,25_wine_wines_drank_sipped,Toasting and Drinking,medium
26,26_window_windowpane_windows_open,Looking Outside,medium
27,27_horse_horsewhipped_horseman_horseback,Horseback Riding,medium
30,30_stairs_staircase_staircases_stairway,Moving Up or Down Staircases,medium
32,32_bathroom_bathrooms_washroom_restroom,Bathrooms and Washrooms,medium
66,66_yes_yeah_sure_ok,Agreement and Confirmation,medium
62,62_medical_hospital_physicians_physician,Health and Healing,medium
68,68_believe_believes_belief_believed,Faith and Conviction,medium
102,102_singing_sings_sang_sung,Musical Performances,medium
69,69_bag_bags_handbag_luggage,Packing and Carrying,medium
94,94_piano_pianist_pianoforte_pianos,Musical Performance,medium
95,95_crowd_crowds_onlookers_crowding,Spectacle and Group Dynamics,medium
96,96_birds_birders_birding_birdsong,Bird Watching,medium
98,98_afraid_fearful_feared_scared,Vulnerability and Anxiety,medium
99,99_paper_ink_papers_penmanship,Writing and Recording,medium
100,100_waves_wave_surf_ocean,Swimming and Surfing,medium
101,101_police_policemen_policeman_cops,Order and Justice,medium
104,104_chance_chances_maybe_hoping,Taking Chances,medium
91,91_business_dealings_companies_firm,Commerce and Negotiation,medium
105,105_done_enough_finished_finish,Finishing and Completing,medium
106,106_bedroom_bedrooms_bedchamber_bedchambers,,medium
109,109_cigarette_cigarettes_smokes_smoked,Smoking and Puffing,medium
110,110_danger_dangers_dangerous_threat,Peril and Caution,medium
111,111_think_thinks_thinking_thought,,medium
112,112_poetry_poems_poem_poetically,,medium
113,113_wings_wing_wingtips_fluttered,,medium
114,114_moment_momentous_moments_thought,,medium
90,90_shoulder_shoulders_neck_back,Empathy and Support,medium
214,214_pinkness_pinks_pinkish_pink,,medium
83,83_lie_lied_lies_liar,Truth vs. Deception,medium
73,73_eyebrow_eyebrows_glanced_brow,Skepticism and Curiosity,medium
77,77_hate_hatefully_hating_hateful,Hostility and Disdain,medium
78,78_eat_eating_eaten_food,Nourishment and Appetite,medium
79,79_mask_masks_masked_disguise,Disguise and Concealment,medium
80,80_mirror_mirrors_reflected_mirroring,,medium
89,89_party_parties_festivities_guests,Parties and Social Gatherings,medium
81,81_case_cases_circumstances_trial,Investigating and Solving Cases,medium
74,74_hug_hugs_hugged_hugging,Comfort and Support,medium
82,82_rain_rained_raining_rains,Storming and Pouring Rain,medium
76,76_towel_washcloth_cleans_towels,Hygiene and Cleanliness,medium
75,75_heard_hears_overheard_hearing,Hearing and Listening,medium
72,72_curls_curled_hairs_whiskers,Styling and Combing,medium
84,84_cock_cocks_cockhead_cockstand,Desire and Sexuality,medium
71,71_parents_parent_grandparents_fathers,Parenthood and Kinship,medium
85,85_apologize_apologizes_apologized_apology,Apologizing and Forgiving,medium
87,87_pregnancy_birth_pregnant_birthing,Giving Birth and Expecting Children,medium
70,70_train_trains_railway_railroad,Railway Stations and Locomotives,medium
88,88_safe_safest_safes_safekeeping,Safety and Security,medium
2,2_war_wars_combat_battle,Allies and Enemies in Battle,trash
37,37_feelings_emotions_emotion_emotional,Complex Emotions and Uncertainty,trash
19,19_blood_bloodier_bloodied_bloodstains,Injury and Violence,trash
12,12_crying_cry_cries_sobbed,Pain and Loss,trash
22,22_coldness_cold_chilly_colder,Frosty Landscapes,trash
24,24_ca_california_act_see,Uncertainty and Possibility,trash
97,97_throat_cleared_clears_swallowing,Communication and Awkwardness,trash
28,28_kill_kills_killing_murdering,Acts of Violence,trash
46,46_pistol_holstered_pistols_revolvers,Weaponized Confrontations,trash
34,34_anger_angry_rage_angered,Wrath and Frustration,trash
93,93_fact_facts_incontrovertible_corroborated,Proving and Establishing Facts,trash
