label,topic_id,top_median,top_mean,trash_median,cliffs_top_trash,prevalence,mass,keywords,label_is_noise
Belief Discussion,249,0.003992340326843376,0.0041658160426314966,0.003832167381566343,0.12222222222222222,1.0,0.004010822034963681,"believe, admit, cana, expect, macka, validity, scotcha, ehh, prophecy, laminate",False
Reunion After Argument,341,0.003945719006713422,0.0042209460763973665,0.0040892029629330875,-0.2,1.0,0.004404352320896005,"leaving, mirandaa, disrespectful, hadna, replacement, coolly, reunion, bogged, realizations, supplication",False
Marriage Ceremony Planning,9,0.003759611174178495,0.004863123317793016,0.002216880701441856,0.2866666666666667,0.9891304347826086,0.0043311806334761,"married, wedding, marriage, marry, divorce, marrying, divorced, engaged, getting, ceremony",False
Reluctant Relationship Choices,114,0.003721655526286701,0.003790172473910577,0.003530909643032335,0.06888888888888889,1.0,0.004105498669901882,"taga, asked, drewa, wasna, replied, enthralled, hadna, kadea, choices, deter",False
Phone Ringing And Answering,54,0.003641069482812059,0.0037004410819417937,0.0051139357580521575,-0.30666666666666664,0.9782608695652174,0.00437208493122179,"rang, dialed, message, texted, screen, picked, pocket, texting, checked, rings",False
Dinner Invitation,3,0.0036385099298765593,0.0044777449953403055,0.003524620944689882,0.12,0.9891304347826086,0.004267044821107908,"dinner, eat, food, lunch, breakfast, bakery, chicken, sandwich, meal, dessert",False
Fascinated Gaze,229,0.003571095661892327,0.0037893007053993425,0.004770131360051338,-0.2733333333333333,0.9565217391304348,0.0041618191580314835,"widens, narrowed, gaze, widened, widen, tilts, narrows, brows, tilted, furrowed",False
Threatening Affair Disclosure,333,0.003472366130990478,0.003941350699435072,0.00354029492133292,-0.11555555555555555,1.0,0.00367593715528049,"marca, weapons, compare, threats, sworn, cubicle, hadn, york, affair, conscious",False
Yearlong Relationship Reflection,311,0.0032900108240981538,0.0032646356498727863,0.002952633004928492,0.16,1.0,0.0031371169910369024,"wea, shared, downs, cycle, yearlong, created, worked, years, squared, accidentally",False
Hair Tugging During game,102,0.003274713695036357,0.003320943197800803,0.0025371657569947977,0.2311111111111111,0.9456521739130435,0.003072575481234699,"hair, strands, brushes, grip, strand, handful, hand, runs, threads, gently",False
Intimate Breast And Nipple Kissing,1,0.0031262891610535906,0.008037940552667112,0.00412240498117305,-0.29777777777777775,0.9891304347826086,0.013795467902514574,"kissed, hips, tongue, breasts, mouth, body, arms, slid, neck, thighs",False
Mid-flight Makeout,125,0.00301524041665119,0.003073701407013844,0.002888268418659774,0.16444444444444445,1.0,0.0030356931053252727,"flight, plane, jet, airport, helicopter, pilot, runway, flying, fly, jfk",False
Playful Smiling Interactions,14,0.002970958555375859,0.0033924749287981603,0.002593679501892147,0.18444444444444444,0.9891304347826086,0.0033200217207586566,"smile, smiles, grin, smiled, laugh, grinned, grins, laughed, laughs, smirked",False
Privacy Concerns Conversation,367,0.002934621449875046,0.0030653947138729073,0.0027214121288223433,0.14444444444444443,1.0,0.0029083068394477256,"privacy, safer, protected, protect, invasion, protection, safety, safea, duty, secure",False
Whispered Love Confessions,96,0.002780245678054928,0.0030247513565111674,0.0039165208357601995,-0.23555555555555555,0.967391304347826,0.003418572485731168,"whispers, whispered, whisper, softly, breaking, ear, plea, murmured, soft, someday",False
Desperate Harem Offer,208,0.0027802212582866796,0.0027997068060225294,0.002805389199871668,-0.07555555555555556,1.0,0.00289177017002424,"wants, wanted, want, badly, astonishingly, desperate, bluest, harem, alwaysa, empowering",False
Breast And Nipple Foreplay,162,0.0027570866148854036,0.002828639192905894,0.00339626251719623,-0.18444444444444444,0.9456521739130435,0.0029830820729170437,"skirt, dress, breasts, nipples, curves, fabric, wore, panties, lace, blouse",False
Shower Hygiene,57,0.002755823073118863,0.0033934779835332607,0.002737416368613525,0.14666666666666667,0.9945652173913043,0.0032469110861432795,"shower, bathroom, bath, tub, toilet, bathtub, showers, restroom, showering, showered",False
Adrenaline-fueled game,19,0.0027537800542741997,0.0033082702437427546,0.0022765319114891143,0.27555555555555555,0.8152173913043478,0.0028925590897060714,"stomach, chest, blood, veins, temples, spine, belly, adrenaline, heartbeat, beating",False
Breast And Nipple Play,133,0.0027368316469617584,0.0029861647118317913,0.0024769336131563197,0.20166666666666666,0.967391304347826,0.002863812460731543,"nipple, nipples, breasts, breast, cups, pinches, sucking, thumbs, tongue, thumb",False
Evening Boat Ride,220,0.0027210645231143483,0.0028515807595906146,0.0031197447913192252,-0.21333333333333335,0.9782608695652174,0.004141759825774088,"margota, eddiea, couldn, didn, wasn, blinked, moment, raised, boat, inspiration",False
Hushed Conversations,256,0.002700106184068455,0.002688780268634595,0.0024046335463866826,0.16,1.0,0.002590975569411301,"shh, whew, uh, ah, huh, whata, wrong, whack, wh, ew",False
Intense Argument About Feud,356,0.0026770553643056466,0.002735998795581178,0.0025932056582366617,0.028888888888888888,0.9891304347826086,0.0027491625896056368,"fight, fighting, fought, battle, fights, battles, dragons, feud, war, confrontation",False
Ode Recital,180,0.002646576751962307,0.002480929338425236,0.0024451576620489425,-0.044444444444444446,1.0,0.0024956854843210243,"ode, deserve, believed, ended, outdo, flashing, geometry, stratosphere, adhered, cleanup",False
Moral Dilemma Discussion,314,0.0026253570815730227,0.002697385562390625,0.002711600520364851,0.02666666666666667,1.0,0.0026053414151168395,"thing, proves, exactly, thinga, telegraphing, humane, accurately, percent, accept, winner",False
